label,min_fair,multiplier,min_prob,n_bets,wins,winrate_pct,final_capital,roi_pct,total_staked,total_profit,avg_profit_per_bet,ev_per_bet
combined,1.4,1.05,0.35,356,184,51.68539325842697,58.819999999999965,16.522471910112348,356.0,58.819999999999965,0.16522471910112357,0.16522471910112357
combined,1.4,1.05,0.4,330,177,53.63636363636364,59.329999999999956,17.978787878787866,330.0,59.329999999999956,0.17978787878787877,0.17978787878787877
combined,1.4,1.05,0.45,285,160,56.14035087719298,55.98999999999996,19.645614035087704,285.0,55.98999999999996,0.1964561403508772,0.1964561403508772
combined,1.4,1.05,0.5,224,133,59.375,49.81999999999994,22.241071428571406,224.0,49.81999999999994,0.22241071428571432,0.22241071428571432
combined,1.4,1.05,0.55,162,103,63.580246913580254,41.729999999999976,25.75925925925924,162.0,41.729999999999976,0.2575925925925926,0.2575925925925926
combined,1.4,1.05,0.6,101,68,67.32673267326733,25.5,25.247524752475247,101.0,25.5,0.2524752475247524,0.2524752475247524
combined,1.4,1.05,0.65,46,32,69.56521739130434,9.999999999999998,21.739130434782606,46.0,9.999999999999998,0.21739130434782614,0.21739130434782614
combined,1.4,1.05,0.7,6,6,100.0,3.74,62.33333333333334,6.0,3.74,0.6233333333333334,0.6233333333333334
combined,1.4,1.1,0.35,275,135,49.09090909090909,47.64999999999996,17.327272727272714,275.0,47.64999999999996,0.17327272727272727,0.17327272727272727
combined,1.4,1.1,0.4,251,128,50.99601593625498,46.15999999999997,18.39043824701194,251.0,46.15999999999997,0.18390438247011953,0.18390438247011953
combined,1.4,1.1,0.45,216,114,52.77777777777778,40.46999999999998,18.7361111111111,216.0,40.46999999999998,0.18736111111111112,0.18736111111111112
combined,1.4,1.1,0.5,166,92,55.42168674698795,34.59999999999997,20.843373493975886,166.0,34.59999999999997,0.20843373493975906,0.20843373493975906
combined,1.4,1.1,0.55,118,71,60.16949152542372,31.11999999999999,26.372881355932194,118.0,31.11999999999999,0.2637288135593221,0.2637288135593221
combined,1.4,1.1,0.6,69,44,63.76811594202898,17.870000000000005,25.898550724637687,69.0,17.870000000000005,0.25898550724637676,0.25898550724637676
combined,1.4,1.1,0.65,29,19,65.51724137931035,6.249999999999999,21.551724137931032,29.0,6.249999999999999,0.21551724137931028,0.21551724137931028
combined,1.4,1.1,0.7,4,4,100.0,2.6799999999999997,67.0,4.0,2.6799999999999997,0.6699999999999999,0.6699999999999999
combined,1.4,1.15,0.35,209,105,50.23923444976076,51.15999999999995,24.478468899521506,209.0,51.15999999999995,0.24478468899521533,0.24478468899521533
combined,1.4,1.15,0.4,191,98,51.30890052356021,43.669999999999966,22.86387434554972,191.0,43.669999999999966,0.22863874345549737,0.22863874345549737
combined,1.4,1.15,0.45,165,88,53.333333333333336,39.41999999999997,23.890909090909073,165.0,39.41999999999997,0.23890909090909088,0.23890909090909088
combined,1.4,1.15,0.5,131,75,57.25190839694656,38.46999999999998,29.36641221374044,131.0,38.46999999999998,0.29366412213740456,0.29366412213740456
combined,1.4,1.15,0.55,92,56,60.86956521739131,30.32,32.95652173913044,92.0,30.32,0.3295652173913043,0.3295652173913043
combined,1.4,1.15,0.6,48,32,66.66666666666666,17.930000000000003,37.35416666666667,48.0,17.930000000000003,0.37354166666666666,0.37354166666666666
combined,1.4,1.15,0.65,22,14,63.63636363636363,4.9799999999999995,22.636363636363637,22.0,4.9799999999999995,0.2263636363636363,0.2263636363636363
combined,1.4,1.15,0.7,3,3,100.0,2.0999999999999996,69.99999999999999,3.0,2.0999999999999996,0.6999999999999998,0.6999999999999998
combined,1.4,1.2,0.35,160,81,50.625,44.979999999999976,28.112499999999983,160.0,44.979999999999976,0.28112499999999996,0.28112499999999996
combined,1.4,1.2,0.4,148,76,51.35135135135135,37.92999999999998,25.628378378378365,148.0,37.92999999999998,0.2562837837837838,0.2562837837837838
combined,1.4,1.2,0.45,131,70,53.43511450381679,35.47999999999999,27.08396946564885,131.0,35.47999999999999,0.27083969465648855,0.27083969465648855
combined,1.4,1.2,0.5,106,61,57.54716981132076,35.37999999999999,33.37735849056603,106.0,35.37999999999999,0.33377358490566034,0.33377358490566034
combined,1.4,1.2,0.55,77,47,61.038961038961034,28.43,36.922077922077925,77.0,28.43,0.36922077922077917,0.36922077922077917
combined,1.4,1.2,0.6,40,26,65.0,15.169999999999998,37.925,40.0,15.169999999999998,0.37925,0.37925
combined,1.4,1.2,0.65,18,11,61.111111111111114,3.83,21.27777777777778,18.0,3.83,0.21277777777777773,0.21277777777777773
combined,1.4,1.2,0.7,1,1,100.0,0.75,75.0,1.0,0.75,0.75,0.75
combined,1.4,1.25,0.35,128,67,52.34375,45.98,35.921875,128.0,45.98,0.35921875000000003,0.35921875000000003
combined,1.4,1.25,0.4,117,62,52.991452991452995,37.93,32.41880341880342,117.0,37.93,0.3241880341880342,0.3241880341880342
combined,1.4,1.25,0.45,101,56,55.44554455445545,34.48,34.13861386138613,101.0,34.48,0.3413861386138614,0.3413861386138614
combined,1.4,1.25,0.5,85,50,58.82352941176471,32.870000000000005,38.670588235294126,85.0,32.870000000000005,0.38670588235294123,0.38670588235294123
combined,1.4,1.25,0.55,64,40,62.5,27.5,42.96875,64.0,27.5,0.4296875,0.4296875
combined,1.4,1.25,0.6,35,22,62.857142857142854,12.76,36.457142857142856,35.0,12.76,0.3645714285714286,0.3645714285714286
combined,1.4,1.25,0.65,16,9,56.25,2.2799999999999994,14.249999999999996,16.0,2.2799999999999994,0.14249999999999996,0.14249999999999996
combined,1.4,1.25,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.4,1.3,0.35,93,47,50.53763440860215,36.550000000000004,39.30107526881721,93.0,36.550000000000004,0.3930107526881721,0.3930107526881721
combined,1.4,1.3,0.4,84,42,50.0,26.499999999999993,31.54761904761904,84.0,26.499999999999993,0.31547619047619047,0.31547619047619047
combined,1.4,1.3,0.45,70,37,52.85714285714286,24.1,34.42857142857143,70.0,24.1,0.34428571428571425,0.34428571428571425
combined,1.4,1.3,0.5,56,32,57.14285714285714,23.249999999999996,41.51785714285713,56.0,23.249999999999996,0.41517857142857145,0.41517857142857145
combined,1.4,1.3,0.55,42,25,59.523809523809526,18.049999999999997,42.97619047619047,42.0,18.049999999999997,0.4297619047619047,0.4297619047619047
combined,1.4,1.3,0.6,22,13,59.09090909090909,7.669999999999998,34.86363636363636,22.0,7.669999999999998,0.34863636363636363,0.34863636363636363
combined,1.4,1.3,0.65,10,6,60.0,2.5399999999999996,25.399999999999995,10.0,2.5399999999999996,0.25399999999999995,0.25399999999999995
combined,1.4,1.3,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.4,1.4,0.35,45,19,42.22222222222222,10.86,24.133333333333333,45.0,10.86,0.24133333333333332,0.24133333333333332
combined,1.4,1.4,0.4,42,17,40.476190476190474,5.429999999999996,12.92857142857142,42.0,5.429999999999996,0.12928571428571428,0.12928571428571428
combined,1.4,1.4,0.45,34,16,47.05882352941176,9.93,29.205882352941178,34.0,9.93,0.29205882352941176,0.29205882352941176
combined,1.4,1.4,0.5,27,14,51.85185185185185,10.540000000000001,39.037037037037045,27.0,10.540000000000001,0.3903703703703703,0.3903703703703703
combined,1.4,1.4,0.55,20,11,55.00000000000001,8.409999999999998,42.04999999999999,20.0,8.409999999999998,0.42049999999999993,0.42049999999999993
combined,1.4,1.4,0.6,12,7,58.333333333333336,5.02,41.83333333333333,12.0,5.02,0.4183333333333333,0.4183333333333333
combined,1.4,1.4,0.65,5,3,60.0,1.42,28.4,5.0,1.42,0.284,0.284
combined,1.4,1.4,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.4,1.5,0.35,30,11,36.666666666666664,5.029999999999999,16.766666666666666,30.0,5.029999999999999,0.1676666666666667,0.1676666666666667
combined,1.4,1.5,0.4,28,9,32.142857142857146,-1.4000000000000004,-5.000000000000001,28.0,-1.4000000000000004,-0.05000000000000001,-0.05000000000000001
combined,1.4,1.5,0.45,24,9,37.5,2.599999999999998,10.833333333333323,24.0,2.599999999999998,0.1083333333333333,0.1083333333333333
combined,1.4,1.5,0.5,20,8,40.0,3.1499999999999986,15.749999999999991,20.0,3.1499999999999986,0.15749999999999997,0.15749999999999997
combined,1.4,1.5,0.55,15,6,40.0,1.92,12.8,15.0,1.92,0.128,0.128
combined,1.4,1.5,0.6,9,4,44.44444444444444,1.5999999999999996,17.77777777777777,9.0,1.5999999999999996,0.17777777777777773,0.17777777777777773
combined,1.4,1.5,0.65,2,0,0.0,-2.0,-100.0,2.0,-2.0,-1.0,-1.0
combined,1.4,1.5,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.5,1.05,0.35,329,163,49.544072948328264,49.46999999999997,15.036474164133729,329.0,49.46999999999997,0.1503647416413374,0.1503647416413374
combined,1.5,1.05,0.4,303,156,51.48514851485149,49.979999999999976,16.495049504950487,303.0,49.979999999999976,0.16495049504950496,0.16495049504950496
