model,log_loss,accuracy,brier
raw_lgb,1.3972477678078314,0.4896551724137931,0.2372837716382683
cal_sigmoid,1.013332641199746,0.49310344827586206,0.2033519283225351
cal_isotonic,0.9836896815759039,0.5155172413793103,0.1979301207727565
