Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Time_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie,bookie_gap
2024-09-01,Udinese,Como,0.5563140094989323,0.2522471873024446,0.191438803198623,Home,0.5563140094989323,H,19:45:00,H,2.05,3.4,3.75,2.05,3.3,3.9,2.0,3.3,3.8,2.07,3.4,3.89,2.1,3.3,3.75,both,2025-09-06 19:45:00,30,H,True,11,0.3666666666666666,1.79754595952148,2.1,WHH,0.3024540404785201
2024-09-14,Como,Bologna,0.1380422796354958,0.2155864300546089,0.6463712903098953,Away,0.6463712903098953,A,14:00:00,D,3.0,3.25,2.45,3.0,3.2,2.5,2.9,3.2,2.5,3.03,3.15,2.57,3.0,3.2,2.45,both,2025-09-06 14:00:00,31,A,False,11,0.3548387096774194,1.5470984169494308,2.57,PSA,1.022901583050569
2024-09-14,Empoli,Juventus,0.1575171482886424,0.2165671784172346,0.625915673294123,Away,0.625915673294123,A,17:00:00,D,5.25,3.6,1.7,5.0,3.75,1.73,5.0,3.6,1.73,5.54,3.68,1.7,5.0,3.6,1.73,both,2025-09-06 17:00:00,32,A,False,11,0.34375,1.5976593056651125,1.73,BFA,0.1323406943348875
2024-09-15,Genoa,Roma,0.2296425441809663,0.256066821816316,0.5142906340027177,Away,0.5142906340027177,A,11:30:00,D,3.25,3.3,2.25,3.3,3.3,2.25,3.3,3.3,2.2,3.37,3.28,2.29,3.3,3.3,2.25,both,2025-09-06 11:30:00,34,A,False,12,0.3529411764705882,1.9444258438405,2.29,PSA,0.34557415615950005
2024-09-15,Atalanta,Fiorentina,0.5708300871416764,0.2581624967434245,0.1710074161148992,Home,0.5708300871416764,H,14:00:00,H,1.8,3.6,4.5,1.83,3.75,4.4,1.8,3.75,4.2,1.83,3.85,4.29,1.83,3.75,4.2,both,2025-09-06 14:00:00,35,H,True,13,0.3714285714285714,1.7518347797806362,1.83,BFH,0.0781652202193639
2024-09-15,Torino,Lecce,0.6121866279858166,0.2590992206884349,0.1287141513257484,Home,0.6121866279858166,H,14:00:00,D,1.8,3.5,4.75,1.85,3.4,5.0,1.82,3.4,4.75,1.84,3.34,5.07,1.83,3.4,4.8,both,2025-09-06 14:00:00,36,H,False,13,0.3611111111111111,1.6334887994697729,1.85,BFH,0.2165112005302272
2024-09-15,Cagliari,Napoli,0.1789710363165201,0.2542502852586449,0.566778678424835,Away,0.566778678424835,A,17:00:00,A,4.33,3.75,1.8,4.5,3.75,1.8,4.2,3.75,1.8,4.43,3.73,1.83,4.33,3.7,1.83,both,2025-09-06 17:00:00,37,A,True,14,0.3783783783783784,1.7643571257464266,1.83,PSA,0.06564287425357351
2024-09-16,Parma,Udinese,0.1962847065333431,0.2544417801080637,0.5492735133585931,Away,0.5492735133585931,A,17:30:00,A,2.25,3.4,3.2,2.2,3.4,3.3,2.25,3.3,3.1,2.29,3.36,3.29,2.25,3.4,3.2,both,2025-09-06 17:30:00,39,A,True,15,0.3846153846153846,1.8205866033579343,3.3,BFA,1.4794133966420655
2024-09-16,Lazio,Verona,0.6641923926160916,0.2127091949887184,0.1230984123951899,Home,0.6641923926160916,H,19:45:00,H,1.62,3.8,6.0,1.6,4.0,6.0,1.63,3.8,5.5,1.62,3.97,5.78,1.62,3.8,5.8,both,2025-09-06 19:45:00,40,H,True,16,0.4,1.505587855442373,1.63,BWH,0.12441214455762695
2024-09-20,Cagliari,Empoli,0.3340191109037251,0.3031160998137502,0.3628647892825247,Away,0.3628647892825247,A,17:30:00,A,2.15,3.4,3.4,2.2,3.25,3.6,2.15,3.25,3.5,2.17,3.35,3.72,2.2,3.2,3.5,both,2025-09-06 17:30:00,41,A,True,17,0.4146341463414634,2.755847438317872,3.72,PSA,0.9641525616821283
