label,multiplier,min_prob,n_bets,wins,winrate_pct,final_capital,roi_pct,total_staked,total_profit,avg_profit_per_bet,ev_per_bet
combined,1.05,0.35,409,216,52.81173594132029,63.029999999999944,15.410757946210255,409.0,63.029999999999944,0.15410757946210268,0.15410757946210268
combined,1.05,0.4,381,207,54.330708661417326,60.13999999999997,15.784776902887131,381.0,60.13999999999997,0.15784776902887138,0.15784776902887138
combined,1.05,0.45,335,189,56.4179104477612,55.19999999999997,16.477611940298498,335.0,55.19999999999997,0.1647761194029851,0.1647761194029851
combined,1.05,0.5,272,162,59.55882352941176,51.02999999999996,18.76102941176469,272.0,51.02999999999996,0.18761029411764707,0.18761029411764707
combined,1.05,0.55,204,129,63.23529411764706,42.989999999999974,21.073529411764692,204.0,42.989999999999974,0.21073529411764708,0.21073529411764708
combined,1.05,0.6,131,86,65.64885496183206,24.339999999999982,18.580152671755712,131.0,24.339999999999982,0.18580152671755726,0.18580152671755726
combined,1.05,0.65,69,45,65.21739130434783,7.469999999999999,10.826086956521737,69.0,7.469999999999999,0.10826086956521735,0.10826086956521735
combined,1.05,0.7,24,15,62.5,0.1299999999999999,0.5416666666666663,24.0,0.1299999999999999,0.0054166666666666625,0.0054166666666666625
combined,1.1,0.35,378,201,53.17460317460318,64.85,17.156084656084655,378.0,64.85,0.17156084656084658,0.17156084656084658
combined,1.1,0.4,352,194,55.11363636363637,65.36,18.568181818181817,352.0,65.36,0.18568181818181817,0.18568181818181817
combined,1.1,0.45,309,177,57.28155339805825,60.019999999999975,19.423948220064716,309.0,60.019999999999975,0.19423948220064724,0.19423948220064724
combined,1.1,0.5,249,150,60.24096385542169,52.849999999999966,21.22489959839356,249.0,52.849999999999966,0.2122489959839357,0.2122489959839357
combined,1.1,0.55,186,119,63.97849462365591,43.80999999999997,23.553763440860198,186.0,43.80999999999997,0.2355376344086021,0.2355376344086021
combined,1.1,0.6,123,82,66.66666666666666,25.969999999999985,21.11382113821137,123.0,25.969999999999985,0.2111382113821138,0.2111382113821138
combined,1.1,0.65,65,43,66.15384615384615,8.459999999999997,13.015384615384612,65.0,8.459999999999997,0.13015384615384612,0.13015384615384612
combined,1.1,0.7,21,14,66.66666666666666,1.6700000000000008,7.952380952380957,21.0,1.6700000000000008,0.07952380952380952,0.07952380952380952
combined,1.15,0.35,341,178,52.19941348973607,59.53999999999995,17.460410557184737,341.0,59.53999999999995,0.1746041055718475,0.1746041055718475
combined,1.15,0.4,316,171,54.11392405063291,59.049999999999955,18.68670886075948,316.0,59.049999999999955,0.18686708860759493,0.18686708860759493
combined,1.15,0.45,278,155,55.75539568345324,51.22999999999998,18.42805755395683,278.0,51.22999999999998,0.18428057553956836,0.18428057553956836
combined,1.15,0.5,224,132,58.92857142857143,47.03999999999996,20.99999999999998,224.0,47.03999999999996,0.21000000000000002,0.21000000000000002
combined,1.15,0.55,167,105,62.874251497005986,39.91999999999998,23.904191616766454,167.0,39.91999999999998,0.23904191616766463,0.23904191616766463
combined,1.15,0.6,110,72,65.45454545454545,23.36999999999999,21.245454545454535,110.0,23.36999999999999,0.21245454545454545,0.21245454545454545
combined,1.15,0.65,56,37,66.07142857142857,8.609999999999998,15.374999999999996,56.0,8.609999999999998,0.15375,0.15375
combined,1.15,0.7,16,11,68.75,2.3500000000000005,14.687500000000004,16.0,2.3500000000000005,0.146875,0.146875
combined,1.2,0.35,307,158,51.465798045602604,53.909999999999954,17.560260586319203,307.0,53.909999999999954,0.1756026058631922,0.1756026058631922
combined,1.2,0.4,284,151,53.16901408450704,51.41999999999996,18.105633802816886,284.0,51.41999999999996,0.18105633802816903,0.18105633802816903
combined,1.2,0.45,253,139,54.9407114624506,46.94999999999997,18.557312252964415,253.0,46.94999999999997,0.18557312252964428,0.18557312252964428
combined,1.2,0.5,205,117,57.073170731707314,39.079999999999956,19.06341463414632,205.0,39.079999999999956,0.19063414634146342,0.19063414634146342
combined,1.2,0.55,153,94,61.43790849673203,35.38999999999998,23.13071895424835,153.0,35.38999999999998,0.23130718954248367,0.23130718954248367
combined,1.2,0.6,100,63,63.0,18.46999999999999,18.46999999999999,100.0,18.46999999999999,0.18469999999999998,0.18469999999999998
combined,1.2,0.65,52,34,65.38461538461539,7.9999999999999964,15.384615384615378,52.0,7.9999999999999964,0.15384615384615385,0.15384615384615385
combined,1.2,0.7,15,10,66.66666666666666,1.9699999999999998,13.133333333333333,15.0,1.9699999999999998,0.13133333333333333,0.13133333333333333
combined,1.25,0.35,262,133,50.76335877862596,49.87999999999995,19.03816793893128,262.0,49.87999999999995,0.19038167938931297,0.19038167938931297
combined,1.25,0.4,244,126,51.63934426229508,42.38999999999997,17.37295081967212,244.0,42.38999999999997,0.1737295081967213,0.1737295081967213
combined,1.25,0.45,217,116,53.45622119815668,39.139999999999965,18.036866359446986,217.0,39.139999999999965,0.18036866359447007,0.18036866359447007
combined,1.25,0.5,176,99,56.25,35.869999999999976,20.380681818181802,176.0,35.869999999999976,0.2038068181818182,0.2038068181818182
combined,1.25,0.55,133,80,60.150375939849624,31.71999999999999,23.849624060150372,133.0,31.71999999999999,0.23849624060150376,0.23849624060150376
combined,1.25,0.6,84,53,63.095238095238095,18.47,21.988095238095237,84.0,18.47,0.21988095238095237,0.21988095238095237
combined,1.25,0.65,43,28,65.11627906976744,7.849999999999998,18.255813953488367,43.0,7.849999999999998,0.1825581395348837,0.1825581395348837
combined,1.25,0.7,11,6,54.54545454545454,-0.010000000000000231,-0.09090909090909301,11.0,-0.010000000000000231,-0.0009090909090909301,-0.0009090909090909301
combined,1.3,0.35,230,116,50.43478260869565,46.85999999999994,20.373913043478236,230.0,46.85999999999994,0.20373913043478256,0.20373913043478256
combined,1.3,0.4,217,110,50.69124423963134,37.50999999999996,17.285714285714267,217.0,37.50999999999996,0.17285714285714288,0.17285714285714288
combined,1.3,0.45,194,102,52.57731958762887,35.659999999999975,18.38144329896906,194.0,35.659999999999975,0.18381443298969075,0.18381443298969075
combined,1.3,0.5,162,89,54.93827160493827,32.70999999999996,20.191358024691333,162.0,32.70999999999996,0.20191358024691358,0.20191358024691358
combined,1.3,0.55,121,70,57.85123966942148,26.560000000000002,21.950413223140497,121.0,26.560000000000002,0.21950413223140497,0.21950413223140497
combined,1.3,0.6,74,45,60.810810810810814,15.220000000000013,20.567567567567586,74.0,15.220000000000013,0.20567567567567566,0.20567567567567566
combined,1.3,0.65,37,22,59.45945945945946,4.130000000000001,11.162162162162165,37.0,4.130000000000001,0.11162162162162156,0.11162162162162156
combined,1.3,0.7,11,6,54.54545454545454,-0.010000000000000231,-0.09090909090909301,11.0,-0.010000000000000231,-0.0009090909090909301,-0.0009090909090909301
combined,1.4,0.35,184,95,51.63043478260869,47.57999999999994,25.85869565217388,184.0,47.57999999999994,0.25858695652173913,0.25858695652173913
