2023-10-22 Atalanta vs Genoa: combined_future_rows=677, features_future_rows=677
2023-10-22 Milan vs Juventus: combined_future_rows=677, features_future_rows=677
2023-10-23 Udinese vs Lecce: combined_future_rows=672, features_future_rows=672
2023-10-23 Fiorentina vs Empoli: combined_future_rows=672, features_future_rows=672
2023-10-27 Genoa vs Salernitana: combined_future_rows=670, features_future_rows=670
2023-10-28 Juventus vs Verona: combined_future_rows=669, features_future_rows=669
2023-10-28 Sassuolo vs Bologna: combined_future_rows=669, features_future_rows=669
2023-10-28 Lecce vs Torino: combined_future_rows=669, features_future_rows=669
2023-10-29 Cagliari vs Frosinone: combined_future_rows=666, features_future_rows=666
2023-10-29 Monza vs Udinese: combined_future_rows=666, features_future_rows=666
2023-10-29 Inter vs Roma: combined_future_rows=666, features_future_rows=666
2023-10-29 Napoli vs Milan: combined_future_rows=666, features_future_rows=666
2023-10-30 Empoli vs Atalanta: combined_future_rows=662, features_future_rows=662
2023-10-30 Lazio vs Fiorentina: combined_future_rows=662, features_future_rows=662
2023-11-03 Bologna vs Lazio: combined_future_rows=660, features_future_rows=660
2023-11-04 Milan vs Udinese: combined_future_rows=659, features_future_rows=659
2023-11-04 Atalanta vs Inter: combined_future_rows=659, features_future_rows=659
2023-11-04 Salernitana vs Napoli: combined_future_rows=659, features_future_rows=659
2023-11-05 Roma vs Lecce: combined_future_rows=656, features_future_rows=656
2023-11-05 Cagliari vs Genoa: combined_future_rows=656, features_future_rows=656
2023-11-05 Fiorentina vs Juventus: combined_future_rows=656, features_future_rows=656
2023-11-05 Verona vs Monza: combined_future_rows=656, features_future_rows=656
2023-11-06 Frosinone vs Empoli: combined_future_rows=652, features_future_rows=652
2023-11-06 Torino vs Sassuolo: combined_future_rows=652, features_future_rows=652
2023-11-10 Sassuolo vs Salernitana: combined_future_rows=650, features_future_rows=650
2023-11-10 Genoa vs Verona: combined_future_rows=650, features_future_rows=650
2023-11-11 Lecce vs Milan: combined_future_rows=648, features_future_rows=648
2023-11-11 Juventus vs Cagliari: combined_future_rows=648, features_future_rows=648
2023-11-11 Monza vs Torino: combined_future_rows=648, features_future_rows=648
2023-11-12 Udinese vs Atalanta: combined_future_rows=645, features_future_rows=645
2023-11-12 Napoli vs Empoli: combined_future_rows=645, features_future_rows=645
2023-11-12 Inter vs Frosinone: combined_future_rows=645, features_future_rows=645
2023-11-12 Lazio vs Roma: combined_future_rows=645, features_future_rows=645
2023-11-12 Fiorentina vs Bologna: combined_future_rows=645, features_future_rows=645
2023-11-25 Salernitana vs Lazio: combined_future_rows=640, features_future_rows=640
2023-11-25 Atalanta vs Napoli: combined_future_rows=640, features_future_rows=640
2023-11-25 Milan vs Fiorentina: combined_future_rows=640, features_future_rows=640
2023-11-26 Cagliari vs Monza: combined_future_rows=637, features_future_rows=637
2023-11-26 Empoli vs Sassuolo: combined_future_rows=637, features_future_rows=637
2023-11-26 Frosinone vs Genoa: combined_future_rows=637, features_future_rows=637
2023-11-26 Roma vs Udinese: combined_future_rows=637, features_future_rows=637
2023-11-26 Juventus vs Inter: combined_future_rows=637, features_future_rows=637
2023-11-27 Bologna vs Torino: combined_future_rows=632, features_future_rows=632
2023-11-27 Verona vs Lecce: combined_future_rows=632, features_future_rows=632
2023-12-01 Monza vs Juventus: combined_future_rows=630, features_future_rows=630
2023-12-02 Lazio vs Cagliari: combined_future_rows=629, features_future_rows=629
2023-12-02 Genoa vs Empoli: combined_future_rows=629, features_future_rows=629
2023-12-02 Milan vs Frosinone: combined_future_rows=629, features_future_rows=629
2023-12-03 Lecce vs Bologna: combined_future_rows=626, features_future_rows=626
2023-12-03 Fiorentina vs Salernitana: combined_future_rows=626, features_future_rows=626
2023-12-03 Udinese vs Verona: combined_future_rows=626, features_future_rows=626
2023-12-03 Sassuolo vs Roma: combined_future_rows=626, features_future_rows=626
2023-12-03 Napoli vs Inter: combined_future_rows=626, features_future_rows=626
2023-12-04 Torino vs Atalanta: combined_future_rows=621, features_future_rows=621
2023-12-08 Juventus vs Napoli: combined_future_rows=620, features_future_rows=620
2023-12-09 Verona vs Lazio: combined_future_rows=619, features_future_rows=619
2023-12-09 Atalanta vs Milan: combined_future_rows=619, features_future_rows=619
2023-12-09 Inter vs Udinese: combined_future_rows=619, features_future_rows=619
2023-12-10 Roma vs Fiorentina: combined_future_rows=616, features_future_rows=616
2023-12-10 Salernitana vs Bologna: combined_future_rows=616, features_future_rows=616
2023-12-10 Frosinone vs Torino: combined_future_rows=616, features_future_rows=616
2023-12-10 Monza vs Genoa: combined_future_rows=616, features_future_rows=616
2023-12-11 Empoli vs Lecce: combined_future_rows=612, features_future_rows=612
2023-12-11 Cagliari vs Sassuolo: combined_future_rows=612, features_future_rows=612
2023-12-15 Genoa vs Juventus: combined_future_rows=610, features_future_rows=610
2023-12-16 Lecce vs Frosinone: combined_future_rows=609, features_future_rows=609
2023-12-16 Napoli vs Cagliari: combined_future_rows=609, features_future_rows=609
2023-12-16 Torino vs Empoli: combined_future_rows=609, features_future_rows=609
2023-12-17 Milan vs Monza: combined_future_rows=606, features_future_rows=606
2023-12-17 Fiorentina vs Verona: combined_future_rows=606, features_future_rows=606
2023-12-17 Udinese vs Sassuolo: combined_future_rows=606, features_future_rows=606
2023-12-17 Bologna vs Roma: combined_future_rows=606, features_future_rows=606
2023-12-17 Lazio vs Inter: combined_future_rows=606, features_future_rows=606
2023-12-18 Atalanta vs Salernitana: combined_future_rows=601, features_future_rows=601
2023-12-22 Empoli vs Lazio: combined_future_rows=600, features_future_rows=600
2023-12-22 Salernitana vs Milan: combined_future_rows=600, features_future_rows=600
2023-12-22 Sassuolo vs Genoa: combined_future_rows=600, features_future_rows=600
2023-12-22 Monza vs Fiorentina: combined_future_rows=600, features_future_rows=600
2023-12-23 Frosinone vs Juventus: combined_future_rows=596, features_future_rows=596
2023-12-23 Bologna vs Atalanta: combined_future_rows=596, features_future_rows=596
2023-12-23 Torino vs Udinese: combined_future_rows=596, features_future_rows=596
2023-12-23 Inter vs Lecce: combined_future_rows=596, features_future_rows=596
2023-12-23 Verona vs Cagliari: combined_future_rows=596, features_future_rows=596
2023-12-23 Roma vs Napoli: combined_future_rows=596, features_future_rows=596
2023-12-29 Napoli vs Monza: combined_future_rows=590, features_future_rows=590
2023-12-29 Fiorentina vs Torino: combined_future_rows=590, features_future_rows=590
2023-12-29 Lazio vs Frosinone: combined_future_rows=590, features_future_rows=590
2023-12-29 Genoa vs Inter: combined_future_rows=590, features_future_rows=590
2023-12-30 Atalanta vs Lecce: combined_future_rows=586, features_future_rows=586
2023-12-30 Cagliari vs Empoli: combined_future_rows=586, features_future_rows=586
2023-12-30 Udinese vs Bologna: combined_future_rows=586, features_future_rows=586
2023-12-30 Milan vs Sassuolo: combined_future_rows=586, features_future_rows=586
2023-12-30 Verona vs Salernitana: combined_future_rows=586, features_future_rows=586
2023-12-30 Juventus vs Roma: combined_future_rows=586, features_future_rows=586
2024-01-05 Bologna vs Genoa: combined_future_rows=580, features_future_rows=580
2024-01-06 Frosinone vs Monza: combined_future_rows=579, features_future_rows=579
2024-01-06 Lecce vs Cagliari: combined_future_rows=579, features_future_rows=579
2024-01-06 Inter vs Verona: combined_future_rows=579, features_future_rows=579
2024-01-06 Sassuolo vs Fiorentina: combined_future_rows=579, features_future_rows=579
2024-01-07 Torino vs Napoli: combined_future_rows=575, features_future_rows=575
2024-01-07 Empoli vs Milan: combined_future_rows=575, features_future_rows=575
2024-01-07 Roma vs Atalanta: combined_future_rows=575, features_future_rows=575
2024-01-07 Udinese vs Lazio: combined_future_rows=575, features_future_rows=575
2024-01-07 Salernitana vs Juventus: combined_future_rows=575, features_future_rows=575
2024-01-13 Napoli vs Salernitana: combined_future_rows=570, features_future_rows=570
2024-01-13 Verona vs Empoli: combined_future_rows=570, features_future_rows=570
2024-01-13 Genoa vs Torino: combined_future_rows=570, features_future_rows=570
2024-01-13 Monza vs Inter: combined_future_rows=570, features_future_rows=570
2024-01-14 Milan vs Roma: combined_future_rows=566, features_future_rows=566
2024-01-14 Lazio vs Lecce: combined_future_rows=566, features_future_rows=566
2024-01-14 Cagliari vs Bologna: combined_future_rows=566, features_future_rows=566
2024-01-14 Fiorentina vs Udinese: combined_future_rows=566, features_future_rows=566
2024-01-15 Atalanta vs Frosinone: combined_future_rows=562, features_future_rows=562
2024-01-16 Juventus vs Sassuolo: combined_future_rows=561, features_future_rows=561
2024-01-20 Roma vs Verona: combined_future_rows=560, features_future_rows=560
2024-01-20 Udinese vs Milan: combined_future_rows=560, features_future_rows=560
2024-01-21 Frosinone vs Cagliari: combined_future_rows=558, features_future_rows=558
2024-01-21 Empoli vs Monza: combined_future_rows=558, features_future_rows=558
2024-01-21 Salernitana vs Genoa: combined_future_rows=558, features_future_rows=558
2024-01-21 Lecce vs Juventus: combined_future_rows=558, features_future_rows=558
2024-01-26 Cagliari vs Torino: combined_future_rows=554, features_future_rows=554
2024-01-27 Milan vs Bologna: combined_future_rows=553, features_future_rows=553
2024-01-27 Atalanta vs Udinese: combined_future_rows=553, features_future_rows=553
2024-01-27 Juventus vs Empoli: combined_future_rows=553, features_future_rows=553
2024-01-28 Fiorentina vs Inter: combined_future_rows=550, features_future_rows=550
2024-01-28 Lazio vs Napoli: combined_future_rows=550, features_future_rows=550
2024-01-28 Genoa vs Lecce: combined_future_rows=550, features_future_rows=550
2024-01-28 Monza vs Sassuolo: combined_future_rows=550, features_future_rows=550
2024-01-28 Verona vs Frosinone: combined_future_rows=550, features_future_rows=550
2024-01-29 Salernitana vs Roma: combined_future_rows=545, features_future_rows=545
2024-02-02 Lecce vs Fiorentina: combined_future_rows=544, features_future_rows=544
2024-02-03 Bologna vs Sassuolo: combined_future_rows=543, features_future_rows=543
2024-02-03 Frosinone vs Milan: combined_future_rows=543, features_future_rows=543
2024-02-03 Empoli vs Genoa: combined_future_rows=543, features_future_rows=543
2024-02-03 Udinese vs Monza: combined_future_rows=543, features_future_rows=543
2024-02-04 Torino vs Salernitana: combined_future_rows=539, features_future_rows=539
2024-02-04 Inter vs Juventus: combined_future_rows=539, features_future_rows=539
2024-02-04 Atalanta vs Lazio: combined_future_rows=539, features_future_rows=539
2024-02-04 Napoli vs Verona: combined_future_rows=539, features_future_rows=539
2024-02-05 Roma vs Cagliari: combined_future_rows=535, features_future_rows=535
2024-02-09 Salernitana vs Empoli: combined_future_rows=534, features_future_rows=534
2024-02-10 Sassuolo vs Torino: combined_future_rows=533, features_future_rows=533
2024-02-10 Cagliari vs Lazio: combined_future_rows=533, features_future_rows=533
2024-02-10 Roma vs Inter: combined_future_rows=533, features_future_rows=533
2024-02-11 Milan vs Napoli: combined_future_rows=530, features_future_rows=530
2024-02-11 Genoa vs Atalanta: combined_future_rows=530, features_future_rows=530
2024-02-11 Fiorentina vs Frosinone: combined_future_rows=530, features_future_rows=530
2024-02-11 Bologna vs Lecce: combined_future_rows=530, features_future_rows=530
2024-02-11 Monza vs Verona: combined_future_rows=530, features_future_rows=530
2024-02-12 Juventus vs Udinese: combined_future_rows=525, features_future_rows=525
2024-02-14 Bologna vs Fiorentina: combined_future_rows=524, features_future_rows=524
2024-02-16 Inter vs Salernitana: combined_future_rows=523, features_future_rows=523
2024-02-16 Torino vs Lecce: combined_future_rows=523, features_future_rows=523
2024-02-17 Atalanta vs Sassuolo: combined_future_rows=521, features_future_rows=521
2024-02-17 Napoli vs Genoa: combined_future_rows=521, features_future_rows=521
2024-02-17 Verona vs Juventus: combined_future_rows=521, features_future_rows=521
2024-02-18 Lazio vs Bologna: combined_future_rows=518, features_future_rows=518
2024-02-18 Frosinone vs Roma: combined_future_rows=518, features_future_rows=518
2024-02-18 Monza vs Milan: combined_future_rows=518, features_future_rows=518
2024-02-18 Empoli vs Fiorentina: combined_future_rows=518, features_future_rows=518
2024-02-18 Udinese vs Cagliari: combined_future_rows=518, features_future_rows=518
2024-02-22 Torino vs Lazio: combined_future_rows=513, features_future_rows=513
2024-02-23 Bologna vs Verona: combined_future_rows=512, features_future_rows=512
2024-02-24 Genoa vs Udinese: combined_future_rows=511, features_future_rows=511
2024-02-24 Sassuolo vs Empoli: combined_future_rows=511, features_future_rows=511
2024-02-24 Salernitana vs Monza: combined_future_rows=511, features_future_rows=511
2024-02-25 Milan vs Atalanta: combined_future_rows=508, features_future_rows=508
2024-02-25 Cagliari vs Napoli: combined_future_rows=508, features_future_rows=508
2024-02-25 Lecce vs Inter: combined_future_rows=508, features_future_rows=508
2024-02-25 Juventus vs Frosinone: combined_future_rows=508, features_future_rows=508
2024-02-26 Fiorentina vs Lazio: combined_future_rows=504, features_future_rows=504
2024-02-26 Roma vs Torino: combined_future_rows=504, features_future_rows=504
2024-02-28 Sassuolo vs Napoli: combined_future_rows=502, features_future_rows=502
2024-02-28 Inter vs Atalanta: combined_future_rows=502, features_future_rows=502
2024-03-01 Lazio vs Milan: combined_future_rows=500, features_future_rows=500
2024-03-02 Torino vs Fiorentina: combined_future_rows=499, features_future_rows=499
2024-03-02 Udinese vs Salernitana: combined_future_rows=499, features_future_rows=499
2024-03-02 Monza vs Roma: combined_future_rows=499, features_future_rows=499
2024-03-03 Verona vs Sassuolo: combined_future_rows=496, features_future_rows=496
2024-03-03 Empoli vs Cagliari: combined_future_rows=496, features_future_rows=496
2024-03-03 Frosinone vs Lecce: combined_future_rows=496, features_future_rows=496
2024-03-03 Atalanta vs Bologna: combined_future_rows=496, features_future_rows=496
