feature,importance
elo_diff,1440
home_elo,709
away_recent_gd_mean,692
home_recent_gd_mean,652
away_season_matches,652
away_season_pts,623
away_elo,618
home_season_pts,562
home_season_matches,521
h2h_home_pts_mean,440
h2h_away_goals_avg,428
away_recent_pts_mean,390
home_recent_pts_mean,383
home_days_since_last,324
h2h_home_goals_avg,286
away_days_since_last,255
home_recent_matches,21
away_recent_matches,4
away_days_since_log,0
home_days_since_log,0
