match_index,Date,HomeTeam,AwayTeam,predicted,predicted_pct,fair_odds,max_bookie_odds,max_bookie,stake,profit,capital_after,pred_correct
275,2024-03-09,Genoa,Monza,Away,0.3875252659061174,2.580476908161807,3.94,PSA,1.0,2.94,34.23,True
278,2024-03-10,Juventus,Atalanta,Home,0.5774441108360758,1.731769328380732,2.32,PSH,1.0,-1.0,33.23,False
280,2024-03-11,Lazio,Udinese,Home,0.6687237339821342,1.4953858360090988,1.95,BWH,1.0,-1.0,32.23,False
281,2024-03-15,Empoli,Bologna,Away,0.6770708031055129,1.476950409637089,2.08,PSA,1.0,1.08,33.31,True
293,2024-03-30,Lazio,Juventus,Home,0.4129141536464934,2.4218109046853504,3.23,PSH,1.0,2.23,35.54,True
304,2024-04-07,Frosinone,Bologna,Away,0.7510178901859623,1.3315262033936186,1.93,BWA,1.0,-1.0,34.54,False
329,2024-04-25,Udinese,Roma,Away,0.5931810341829079,1.685825982918478,2.3,PSA,1.0,1.2999999999999998,35.84,True
331,2024-04-27,Lecce,Monza,Away,0.4132291728185984,2.4199646728208744,4.12,PSA,1.0,-1.0,34.84,False
344,2024-05-05,Empoli,Frosinone,Home,0.5181328464776267,1.9300069601805887,2.43,PSH,1.0,-1.0,33.84,False
362,2024-05-18,Torino,Milan,Away,0.5960609408868766,1.6776808064492603,2.66,PSA,1.0,-1.0,32.84,False
365,2024-05-19,Monza,Frosinone,Home,0.588941609989416,1.6979611951989115,3.0,B365H,1.0,-1.0,31.84,False
371,2024-05-24,Genoa,Bologna,Away,0.5906165966561638,1.693145783003055,2.2,BWA,1.0,-1.0,30.84,False
374,2024-05-26,Atalanta,Torino,Home,0.587601698625252,1.7018330653903684,3.54,PSH,1.0,2.54,33.38,True
376,2024-05-26,Frosinone,Udinese,Away,0.404093220489721,2.4746765085246887,3.22,PSA,1.0,2.22,35.6,True
377,2024-05-26,Empoli,Roma,Away,0.4921026877580743,2.0320961963361928,3.64,PSA,1.0,-1.0,34.6,False
382,2024-08-17,Parma,Fiorentina,Away,0.6165626782251735,1.6218951216421051,2.25,PSA,1.0,-1.0,33.6,False
383,2024-08-17,Empoli,Monza,Away,0.4713325313090526,2.1216443457078085,3.14,PSA,1.0,-1.0,32.6,False
385,2024-08-18,Bologna,Udinese,Home,0.6515783489898898,1.5347348504600429,1.95,PSH,1.0,-1.0,31.6,False
389,2024-08-19,Lecce,Atalanta,Away,0.6867674688483278,1.456096925611439,1.88,PSA,1.0,0.8799999999999999,32.48,True
391,2024-08-24,Udinese,Lazio,Away,0.6526042924351158,1.5323221308714017,2.4,BFA,1.0,-1.0,31.48,False
399,2024-08-26,Cagliari,Como,Away,0.3608135524815866,2.771514520788498,3.66,PSA,1.0,-1.0,30.48,False
401,2024-08-30,Venezia,Torino,Away,0.5813244146487586,1.7202098773095724,2.23,PSA,1.0,1.23,31.71,True
411,2024-09-14,Como,Bologna,Away,0.6463712903098953,1.5470984169494308,2.57,PSA,1.0,-1.0,30.71,False
419,2024-09-16,Parma,Udinese,Away,0.5492735133585931,1.8205866033579343,3.3,BFA,1.0,2.3,33.01,True
421,2024-09-20,Cagliari,Empoli,Away,0.3628647892825247,2.755847438317872,3.72,PSA,1.0,2.72,35.73,True
422,2024-09-20,Verona,Torino,Away,0.5073934124886663,1.970857278369449,2.9,PSA,1.0,1.9,37.63,True
424,2024-09-21,Juventus,Napoli,Home,0.5545325083235697,1.803320788213376,2.26,PSH,1.0,-1.0,36.63,False
427,2024-09-22,Monza,Bologna,Away,0.5624945003407879,1.7777951595867143,2.43,PSA,1.0,1.4300000000000002,38.06,True
434,2024-09-28,Bologna,Atalanta,Home,0.5119179589902889,1.9534380117712768,3.1,BFH,1.0,-1.0,37.06,False
435,2024-09-29,Torino,Lazio,Home,0.5482961392759512,1.8238319192262475,2.91,PSH,1.0,-1.0,36.06,False
