multiplier,min_prob,min_fair,n_bets,wins,winrate_pct,total_staked,total_profit,roi_pct,final_capital,source
1.5,0.55,1.4,15,6,40.0,15.0,1.92,12.8,1.92,weighted
1.5,0.35,1.4,30,11,36.666666666666664,30.0,5.029999999999999,16.766666666666666,5.029999999999999,weighted
1.5,0.5,1.4,20,8,40.0,20.0,3.1499999999999986,15.749999999999991,3.1499999999999986,weighted
1.5,0.6,1.4,9,4,44.44444444444444,9.0,1.5999999999999996,17.77777777777777,1.5999999999999996,weighted
1.4,0.6,1.4,12,7,58.333333333333336,12.0,5.02,41.83333333333333,5.02,weighted
1.5,0.45,1.4,24,9,37.5,24.0,2.599999999999998,10.833333333333323,2.599999999999998,weighted
1.5,0.4,1.4,28,9,32.142857142857146,28.0,-1.4000000000000004,-5.000000000000001,-1.4000000000000004,weighted
1.4,0.5,1.4,27,14,51.85185185185185,27.0,10.540000000000001,39.037037037037045,10.540000000000001,weighted
1.4,0.55,1.4,20,11,55.00000000000001,20.0,8.409999999999998,42.04999999999999,8.409999999999998,weighted
1.4,0.35,1.4,45,19,42.22222222222222,45.0,10.86,24.133333333333333,10.86,weighted
1.25,0.55,1.6,41,27,65.85365853658537,41.0,22.990000000000002,56.07317073170732,22.990000000000002,unweighted
1.3,0.5,1.6,41,24,58.536585365853654,41.0,20.429999999999996,49.82926829268292,20.429999999999996,unweighted
1.25,0.5,1.6,62,37,59.67741935483871,62.0,28.360000000000003,45.74193548387097,28.360000000000003,unweighted
1.25,0.55,1.5,55,34,61.81818181818181,55.0,24.520000000000003,44.58181818181819,24.520000000000003,unweighted
1.3,0.55,1.5,36,21,58.333333333333336,36.0,15.86,44.05555555555555,15.86,unweighted
1.2,0.55,1.6,49,30,61.224489795918366,49.0,21.510000000000005,43.89795918367348,21.510000000000005,unweighted
1.3,0.35,1.6,78,39,50.0,78.0,33.73000000000001,43.24358974358976,33.73000000000001,unweighted
1.3,0.55,1.4,42,25,59.523809523809526,42.0,18.049999999999997,42.97619047619047,18.049999999999997,unweighted
1.25,0.55,1.4,64,40,62.5,64.0,27.5,42.96875,27.5,unweighted
1.3,0.5,1.5,50,28,56.00000000000001,50.0,21.06,42.12,21.06,unweighted
