2024-10-27 Inter vs Juventus: combined_future_rows=296, features_future_rows=296
2024-10-27 Parma vs Empoli: combined_future_rows=296, features_future_rows=296
2024-10-29 Cagliari vs Bologna: combined_future_rows=291, features_future_rows=291
2024-10-29 Milan vs Napoli: combined_future_rows=291, features_future_rows=291
2024-10-29 Lecce vs Verona: combined_future_rows=291, features_future_rows=291
2024-10-30 Empoli vs Inter: combined_future_rows=288, features_future_rows=288
2024-10-30 Atalanta vs Monza: combined_future_rows=288, features_future_rows=288
2024-10-30 Juventus vs Parma: combined_future_rows=288, features_future_rows=288
2024-10-30 Venezia vs Udinese: combined_future_rows=288, features_future_rows=288
2024-10-31 Como vs Lazio: combined_future_rows=284, features_future_rows=284
2024-10-31 Roma vs Torino: combined_future_rows=284, features_future_rows=284
2024-10-31 Genoa vs Fiorentina: combined_future_rows=284, features_future_rows=284
2024-11-02 Bologna vs Lecce: combined_future_rows=281, features_future_rows=281
2024-11-02 Udinese vs Juventus: combined_future_rows=281, features_future_rows=281
2024-11-02 Monza vs Milan: combined_future_rows=281, features_future_rows=281
2024-11-03 Verona vs Roma: combined_future_rows=278, features_future_rows=278
2024-11-03 Inter vs Venezia: combined_future_rows=278, features_future_rows=278
2024-11-03 Torino vs Fiorentina: combined_future_rows=278, features_future_rows=278
2024-11-03 Napoli vs Atalanta: combined_future_rows=278, features_future_rows=278
2024-11-04 Empoli vs Como: combined_future_rows=274, features_future_rows=274
2024-11-04 Parma vs Genoa: combined_future_rows=274, features_future_rows=274
2024-11-04 Lazio vs Cagliari: combined_future_rows=274, features_future_rows=274
2024-11-07 Genoa vs Como: combined_future_rows=271, features_future_rows=271
2024-11-08 Lecce vs Empoli: combined_future_rows=270, features_future_rows=270
2024-11-09 Juventus vs Torino: combined_future_rows=269, features_future_rows=269
2024-11-09 Cagliari vs Milan: combined_future_rows=269, features_future_rows=269
2024-11-09 Venezia vs Parma: combined_future_rows=269, features_future_rows=269
2024-11-10 Fiorentina vs Verona: combined_future_rows=266, features_future_rows=266
2024-11-10 Monza vs Lazio: combined_future_rows=266, features_future_rows=266
2024-11-10 Inter vs Napoli: combined_future_rows=266, features_future_rows=266
2024-11-10 Atalanta vs Udinese: combined_future_rows=266, features_future_rows=266
2024-11-10 Roma vs Bologna: combined_future_rows=266, features_future_rows=266
2024-11-23 Verona vs Inter: combined_future_rows=261, features_future_rows=261
2024-11-23 Milan vs Juventus: combined_future_rows=261, features_future_rows=261
2024-11-23 Parma vs Atalanta: combined_future_rows=261, features_future_rows=261
2024-11-24 Lazio vs Bologna: combined_future_rows=258, features_future_rows=258
2024-11-24 Torino vs Monza: combined_future_rows=258, features_future_rows=258
2024-11-24 Como vs Fiorentina: combined_future_rows=258, features_future_rows=258
2024-11-24 Napoli vs Roma: combined_future_rows=258, features_future_rows=258
2024-11-24 Genoa vs Cagliari: combined_future_rows=258, features_future_rows=258
2024-11-25 Empoli vs Udinese: combined_future_rows=253, features_future_rows=253
2024-11-25 Venezia vs Lecce: combined_future_rows=253, features_future_rows=253
2024-11-29 Cagliari vs Verona: combined_future_rows=251, features_future_rows=251
2024-11-30 Como vs Monza: combined_future_rows=250, features_future_rows=250
2024-11-30 Milan vs Empoli: combined_future_rows=250, features_future_rows=250
2024-11-30 Bologna vs Venezia: combined_future_rows=250, features_future_rows=250
2024-12-01 Lecce vs Juventus: combined_future_rows=247, features_future_rows=247
2024-12-01 Torino vs Napoli: combined_future_rows=247, features_future_rows=247
2024-12-01 Udinese vs Genoa: combined_future_rows=247, features_future_rows=247
2024-12-01 Parma vs Lazio: combined_future_rows=247, features_future_rows=247
2024-12-02 Roma vs Atalanta: combined_future_rows=243, features_future_rows=243
2024-12-06 Atalanta vs Milan: combined_future_rows=242, features_future_rows=242
2024-12-06 Inter vs Parma: combined_future_rows=242, features_future_rows=242
2024-12-07 Roma vs Lecce: combined_future_rows=240, features_future_rows=240
2024-12-07 Genoa vs Torino: combined_future_rows=240, features_future_rows=240
2024-12-07 Juventus vs Bologna: combined_future_rows=240, features_future_rows=240
2024-12-08 Napoli vs Lazio: combined_future_rows=237, features_future_rows=237
2024-12-08 Verona vs Empoli: combined_future_rows=237, features_future_rows=237
2024-12-08 Fiorentina vs Cagliari: combined_future_rows=237, features_future_rows=237
2024-12-08 Venezia vs Como: combined_future_rows=237, features_future_rows=237
2024-12-09 Monza vs Udinese: combined_future_rows=233, features_future_rows=233
2024-12-13 Empoli vs Torino: combined_future_rows=232, features_future_rows=232
2024-12-14 Cagliari vs Atalanta: combined_future_rows=231, features_future_rows=231
2024-12-14 Udinese vs Napoli: combined_future_rows=231, features_future_rows=231
2024-12-14 Juventus vs Venezia: combined_future_rows=231, features_future_rows=231
2024-12-15 Parma vs Verona: combined_future_rows=228, features_future_rows=228
2024-12-15 Lecce vs Monza: combined_future_rows=228, features_future_rows=228
2024-12-15 Como vs Roma: combined_future_rows=228, features_future_rows=228
2024-12-15 Milan vs Genoa: combined_future_rows=228, features_future_rows=228
2024-12-15 Bologna vs Fiorentina: combined_future_rows=228, features_future_rows=228
2024-12-16 Lazio vs Inter: combined_future_rows=223, features_future_rows=223
2024-12-20 Verona vs Milan: combined_future_rows=222, features_future_rows=222
2024-12-21 Torino vs Bologna: combined_future_rows=221, features_future_rows=221
2024-12-21 Genoa vs Napoli: combined_future_rows=221, features_future_rows=221
2024-12-21 Lecce vs Lazio: combined_future_rows=221, features_future_rows=221
2024-12-22 Atalanta vs Empoli: combined_future_rows=218, features_future_rows=218
2024-12-22 Venezia vs Cagliari: combined_future_rows=218, features_future_rows=218
2024-12-22 Roma vs Parma: combined_future_rows=218, features_future_rows=218
2024-12-22 Monza vs Juventus: combined_future_rows=218, features_future_rows=218
2024-12-23 Inter vs Como: combined_future_rows=214, features_future_rows=214
2024-12-23 Fiorentina vs Udinese: combined_future_rows=214, features_future_rows=214
2024-12-28 Empoli vs Genoa: combined_future_rows=212, features_future_rows=212
2024-12-28 Parma vs Monza: combined_future_rows=212, features_future_rows=212
2024-12-28 Cagliari vs Inter: combined_future_rows=212, features_future_rows=212
2024-12-28 Lazio vs Atalanta: combined_future_rows=212, features_future_rows=212
2024-12-29 Milan vs Roma: combined_future_rows=208, features_future_rows=208
2024-12-29 Juventus vs Fiorentina: combined_future_rows=208, features_future_rows=208
2024-12-29 Udinese vs Torino: combined_future_rows=208, features_future_rows=208
2024-12-29 Napoli vs Venezia: combined_future_rows=208, features_future_rows=208
2024-12-30 Como vs Lecce: combined_future_rows=204, features_future_rows=204
2024-12-30 Bologna vs Verona: combined_future_rows=204, features_future_rows=204
2025-01-04 Verona vs Udinese: combined_future_rows=202, features_future_rows=202
2025-01-04 Venezia vs Empoli: combined_future_rows=202, features_future_rows=202
2025-01-04 Fiorentina vs Napoli: combined_future_rows=202, features_future_rows=202
2025-01-05 Torino vs Parma: combined_future_rows=199, features_future_rows=199
2025-01-05 Monza vs Cagliari: combined_future_rows=199, features_future_rows=199
2025-01-05 Lecce vs Genoa: combined_future_rows=199, features_future_rows=199
2025-01-05 Roma vs Lazio: combined_future_rows=199, features_future_rows=199
2025-01-10 Lazio vs Como: combined_future_rows=195, features_future_rows=195
2025-01-11 Milan vs Cagliari: combined_future_rows=194, features_future_rows=194
2025-01-11 Udinese vs Atalanta: combined_future_rows=194, features_future_rows=194
2025-01-11 Empoli vs Lecce: combined_future_rows=194, features_future_rows=194
2025-01-11 Torino vs Juventus: combined_future_rows=194, features_future_rows=194
2025-01-12 Venezia vs Inter: combined_future_rows=190, features_future_rows=190
2025-01-12 Bologna vs Roma: combined_future_rows=190, features_future_rows=190
2025-01-12 Napoli vs Verona: combined_future_rows=190, features_future_rows=190
2025-01-12 Genoa vs Parma: combined_future_rows=190, features_future_rows=190
2025-01-13 Monza vs Fiorentina: combined_future_rows=186, features_future_rows=186
2025-01-14 Como vs Milan: combined_future_rows=185, features_future_rows=185
2025-01-14 Atalanta vs Juventus: combined_future_rows=185, features_future_rows=185
2025-01-15 Inter vs Bologna: combined_future_rows=183, features_future_rows=183
2025-01-17 Roma vs Genoa: combined_future_rows=182, features_future_rows=182
2025-01-18 Juventus vs Milan: combined_future_rows=181, features_future_rows=181
2025-01-18 Atalanta vs Napoli: combined_future_rows=181, features_future_rows=181
2025-01-18 Bologna vs Monza: combined_future_rows=181, features_future_rows=181
2025-01-19 Inter vs Empoli: combined_future_rows=178, features_future_rows=178
2025-01-19 Verona vs Lazio: combined_future_rows=178, features_future_rows=178
2025-01-19 Fiorentina vs Torino: combined_future_rows=178, features_future_rows=178
2025-01-19 Cagliari vs Lecce: combined_future_rows=178, features_future_rows=178
2025-01-19 Parma vs Venezia: combined_future_rows=178, features_future_rows=178
2025-01-20 Como vs Udinese: combined_future_rows=173, features_future_rows=173
2025-01-24 Torino vs Cagliari: combined_future_rows=172, features_future_rows=172
2025-01-25 Como vs Atalanta: combined_future_rows=171, features_future_rows=171
2025-01-25 Napoli vs Juventus: combined_future_rows=171, features_future_rows=171
2025-01-25 Empoli vs Bologna: combined_future_rows=171, features_future_rows=171
2025-01-26 Lecce vs Inter: combined_future_rows=168, features_future_rows=168
2025-01-26 Udinese vs Roma: combined_future_rows=168, features_future_rows=168
2025-01-26 Lazio vs Fiorentina: combined_future_rows=168, features_future_rows=168
2025-01-26 Milan vs Parma: combined_future_rows=168, features_future_rows=168
2025-01-27 Venezia vs Verona: combined_future_rows=164, features_future_rows=164
2025-01-27 Genoa vs Monza: combined_future_rows=164, features_future_rows=164
2025-01-31 Parma vs Lecce: combined_future_rows=162, features_future_rows=162
2025-02-01 Monza vs Verona: combined_future_rows=161, features_future_rows=161
2025-02-01 Udinese vs Venezia: combined_future_rows=161, features_future_rows=161
2025-02-01 Atalanta vs Torino: combined_future_rows=161, features_future_rows=161
2025-02-01 Bologna vs Como: combined_future_rows=161, features_future_rows=161
2025-02-02 Fiorentina vs Genoa: combined_future_rows=157, features_future_rows=157
2025-02-02 Milan vs Inter: combined_future_rows=157, features_future_rows=157
2025-02-02 Roma vs Napoli: combined_future_rows=157, features_future_rows=157
2025-02-02 Juventus vs Empoli: combined_future_rows=157, features_future_rows=157
2025-02-03 Cagliari vs Lazio: combined_future_rows=153, features_future_rows=153
2025-02-06 Fiorentina vs Inter: combined_future_rows=152, features_future_rows=152
2025-02-07 Como vs Juventus: combined_future_rows=151, features_future_rows=151
2025-02-08 Empoli vs Milan: combined_future_rows=150, features_future_rows=150
2025-02-08 Verona vs Atalanta: combined_future_rows=150, features_future_rows=150
2025-02-08 Torino vs Genoa: combined_future_rows=150, features_future_rows=150
2025-02-09 Lecce vs Bologna: combined_future_rows=147, features_future_rows=147
2025-02-09 Cagliari vs Parma: combined_future_rows=147, features_future_rows=147
2025-02-09 Venezia vs Roma: combined_future_rows=147, features_future_rows=147
2025-02-09 Napoli vs Udinese: combined_future_rows=147, features_future_rows=147
2025-02-09 Lazio vs Monza: combined_future_rows=147, features_future_rows=147
2025-02-10 Inter vs Fiorentina: combined_future_rows=142, features_future_rows=142
2025-02-14 Bologna vs Torino: combined_future_rows=141, features_future_rows=141
2025-02-15 Atalanta vs Cagliari: combined_future_rows=140, features_future_rows=140
2025-02-15 Lazio vs Napoli: combined_future_rows=140, features_future_rows=140
2025-02-15 Milan vs Verona: combined_future_rows=140, features_future_rows=140
2025-02-16 Juventus vs Inter: combined_future_rows=137, features_future_rows=137
2025-02-16 Udinese vs Empoli: combined_future_rows=137, features_future_rows=137
2025-02-16 Parma vs Roma: combined_future_rows=137, features_future_rows=137
2025-02-16 Fiorentina vs Como: combined_future_rows=137, features_future_rows=137
2025-02-16 Monza vs Lecce: combined_future_rows=137, features_future_rows=137
2025-02-17 Genoa vs Venezia: combined_future_rows=132, features_future_rows=132
2025-02-21 Lecce vs Udinese: combined_future_rows=131, features_future_rows=131
2025-02-22 Inter vs Genoa: combined_future_rows=130, features_future_rows=130
2025-02-22 Venezia vs Lazio: combined_future_rows=130, features_future_rows=130
2025-02-22 Torino vs Milan: combined_future_rows=130, features_future_rows=130
2025-02-22 Parma vs Bologna: combined_future_rows=130, features_future_rows=130
2025-02-23 Empoli vs Atalanta: combined_future_rows=126, features_future_rows=126
2025-02-23 Como vs Napoli: combined_future_rows=126, features_future_rows=126
2025-02-23 Verona vs Fiorentina: combined_future_rows=126, features_future_rows=126
2025-02-23 Cagliari vs Juventus: combined_future_rows=126, features_future_rows=126
2025-02-24 Roma vs Monza: combined_future_rows=122, features_future_rows=122
2025-02-27 Bologna vs Milan: combined_future_rows=121, features_future_rows=121
2025-02-28 Fiorentina vs Lecce: combined_future_rows=120, features_future_rows=120
2025-03-01 Napoli vs Inter: combined_future_rows=119, features_future_rows=119
