Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,sim_source,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Date_str,Time_str,DateTime_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie
2023-08-27,Fiorentina,Lecce,0.6095240338702778,0.2587358261944228,0.1317401399352994,Home,0.6095240338702778,simulation_2023_2024_predictions.csv,H,17:30:00,D,1.57,4.2,5.75,,,,,,,1.6,4.0,6.0,,,,1.64,4.0,5.86,1.5,3.6,5.5,both,2023-08-27,17:30:00,2023-08-27 17:30:00,15,H,False,8,0.5333333333333333,1.6406243961379634,1.64,PSH
2023-08-27,Juventus,Bologna,0.641663225721771,0.2198345179722194,0.1385022563060094,Home,0.641663225721771,simulation_2023_2024_predictions.csv,H,17:30:00,D,1.5,4.5,6.0,,,,,,,1.47,4.4,6.75,,,,1.51,4.42,7.08,1.44,3.8,5.8,both,2023-08-27,17:30:00,2023-08-27 17:30:00,16,H,False,8,0.5,1.5584499156471932,1.51,PSH
2023-08-27,Lazio,Genoa,0.6369342100278589,0.2296512104752879,0.1334145794968532,Home,0.6369342100278589,simulation_2023_2024_predictions.csv,H,19:45:00,A,1.55,4.0,6.0,,,,,,,1.57,4.0,6.0,,,,1.61,4.23,5.75,1.44,3.7,5.8,both,2023-08-27,19:45:00,2023-08-27 19:45:00,17,H,False,8,0.47058823529411764,1.5700208659796449,1.61,PSH
2023-08-27,Napoli,Sassuolo,0.7010292870590629,0.1911303715136144,0.1078403414273225,Home,0.7010292870590629,simulation_2023_2024_predictions.csv,H,19:45:00,H,1.33,5.5,8.5,,,,,,,1.33,5.75,8.0,,,,1.34,5.87,8.45,1.22,5.5,8.0,both,2023-08-27,19:45:00,2023-08-27 19:45:00,18,H,True,9,0.5,1.4264739269241804,1.34,PSH
2023-08-28,Salernitana,Udinese,0.4850067224124458,0.3044555577966179,0.2105377197909362,Home,0.4850067224124458,simulation_2023_2024_predictions.csv,H,17:30:00,D,2.7,3.2,2.63,,,,,,,2.7,3.3,2.6,,,,2.8,3.34,2.69,2.7,3.1,2.3,both,2023-08-28,17:30:00,2023-08-28 17:30:00,19,H,False,9,0.47368421052631576,2.0618270918513333,2.8,PSH
2023-08-28,Cagliari,Inter,0.1023415386797265,0.1775521050316844,0.7201063562885891,Away,0.7201063562885891,simulation_2023_2024_predictions.csv,A,19:45:00,A,7.5,4.5,1.44,,,,,,,6.75,4.6,1.45,,,,6.7,5.01,1.47,6.5,4.2,1.36,both,2023-08-28,19:45:00,2023-08-28 19:45:00,20,A,True,10,0.5,1.3886837565967005,1.47,PSA
2023-09-01,Sassuolo,Verona,0.5023851709762713,0.2821087955096469,0.2155060335140818,Home,0.5023851709762713,simulation_2023_2024_predictions.csv,H,17:30:00,H,2.0,3.6,3.75,,,,2.0,3.6,3.6,2.0,3.6,3.6,,,,2.04,3.66,3.84,1.85,3.3,3.6,both,2023-09-01,17:30:00,2023-09-01 17:30:00,21,H,True,11,0.5238095238095238,1.99050461234102,2.04,PSH
2023-09-01,Roma,Milan,0.1480067040402198,0.2090338864007569,0.6429594095590232,Away,0.6429594095590232,simulation_2023_2024_predictions.csv,A,19:45:00,A,2.8,3.1,2.63,,,,2.75,3.1,2.65,2.8,3.15,2.65,,,,2.88,3.2,2.76,2.45,2.9,2.7,both,2023-09-01,19:45:00,2023-09-01 19:45:00,22,A,True,12,0.5454545454545454,1.5553081347481248,2.76,PSA
2023-09-02,Bologna,Cagliari,0.6074709564834917,0.2405920848517558,0.1519369586647524,Home,0.6074709564834917,simulation_2023_2024_predictions.csv,H,17:30:00,H,1.7,3.75,5.0,,,,1.7,3.75,5.0,1.7,3.8,5.0,,,,1.75,3.63,5.47,1.57,3.6,4.75,both,2023-09-02,17:30:00,2023-09-02 17:30:00,23,H,True,13,0.5652173913043478,1.6461692354623303,1.75,PSH
2023-09-02,Udinese,Frosinone,0.4429708861444632,0.3728374660920585,0.1841916477634783,Home,0.4429708861444632,simulation_2023_2024_predictions.csv,H,17:30:00,D,1.8,3.6,4.5,,,,1.78,3.7,4.4,1.8,3.7,4.4,,,,1.82,3.72,4.74,1.75,3.3,4.0,both,2023-09-02,17:30:00,2023-09-02 17:30:00,24,H,False,13,0.5416666666666666,2.257484704477568,1.82,PSH
2023-09-02,Atalanta,Monza,0.5683852197798492,0.2632942668924125,0.1683205133277383,Home,0.5683852197798492,simulation_2023_2024_predictions.csv,H,19:45:00,H,1.62,4.0,5.25,,,,1.62,4.2,5.0,1.63,4.1,5.25,,,,1.64,4.27,5.32,1.44,4.0,5.5,both,2023-09-02,19:45:00,2023-09-02 19:45:00,25,H,True,14,0.56,1.7593701686812453,1.64,PSH
2023-09-02,Napoli,Lazio,0.5615520010484959,0.2500488614272267,0.1883991375242775,Home,0.5615520010484959,simulation_2023_2024_predictions.csv,H,19:45:00,A,1.62,4.0,5.5,,,,1.65,3.9,5.0,1.63,3.95,5.5,,,,1.62,4.19,5.73,1.6,3.6,4.5,both,2023-09-02,19:45:00,2023-09-02 19:45:00,26,H,False,14,0.5384615384615384,1.7807789806337802,1.65,BWH
2023-09-03,Inter,Fiorentina,0.6527988526801829,0.2140846358525957,0.1331165114672214,Home,0.6527988526801829,simulation_2023_2024_predictions.csv,H,17:30:00,H,1.65,3.8,5.25,,,,1.68,4.0,4.8,1.65,4.0,5.25,,,,1.66,4.16,5.29,1.6,3.6,4.5,both,2023-09-03,17:30:00,2023-09-03 17:30:00,27,H,True,15,0.5555555555555556,1.5318654374074347,1.68,BWH
2023-09-03,Torino,Genoa,0.6089536245967526,0.2481939694250115,0.1428524059782359,Home,0.6089536245967526,simulation_2023_2024_predictions.csv,H,17:30:00,H,2.0,3.3,4.0,,,,2.05,3.2,3.9,2.05,3.25,3.85,,,,2.09,3.31,4.03,1.95,3.0,3.6,both,2023-09-03,17:30:00,2023-09-03 17:30:00,28,H,True,16,0.5714285714285714,1.6421611755118417,2.09,PSH
2023-09-03,Empoli,Juventus,0.168575665561703,0.2142359615617126,0.6171883728765843,Away,0.6171883728765843,simulation_2023_2024_predictions.csv,A,19:45:00,A,5.25,3.8,1.67,,,,5.0,3.9,1.66,5.0,3.85,1.67,,,,5.43,3.98,1.68,4.75,3.6,1.57,both,2023-09-03,19:45:00,2023-09-03 19:45:00,29,A,True,17,0.5862068965517241,1.6202508730668592,1.68,PSA
2023-09-03,Lecce,Salernitana,0.4421038918654112,0.3020952905586415,0.2558008175759473,Home,0.4421038918654112,simulation_2023_2024_predictions.csv,H,19:45:00,H,2.0,3.3,4.0,,,,1.93,3.5,3.9,2.05,3.35,3.85,,,,2.06,3.4,4.0,1.83,3.2,3.75,both,2023-09-03,19:45:00,2023-09-03 19:45:00,30,H,True,18,0.6,2.2619117777511626,2.06,PSH
2023-09-16,Juventus,Lazio,0.5470940429259956,0.2592352755550331,0.1936706815189712,Home,0.5470940429259956,simulation_2023_2024_predictions.csv,H,14:00:00,H,1.91,3.4,4.33,,,,1.85,3.5,4.33,1.9,3.4,4.3,,,,1.94,3.47,4.41,1.83,3.1,3.9,both,2023-09-16,14:00:00,2023-09-16 14:00:00,31,H,True,19,0.6129032258064516,1.82783931378918,1.94,PSH
2023-09-16,Inter,Milan,0.4937973232692725,0.2701167083567972,0.2360859683739302,Home,0.4937973232692725,simulation_2023_2024_predictions.csv,H,17:00:00,H,2.15,3.5,3.4,,,,2.15,3.5,3.25,2.15,3.5,3.35,,,,2.15,3.57,3.53,2.0,3.2,3.2,both,2023-09-16,17:00:00,2023-09-16 17:00:00,32,H,True,20,0.625,2.0251223586618963,2.15,B365H
2023-09-16,Genoa,Napoli,0.2304191773466621,0.2988422756954354,0.4707385469579024,Away,0.4707385469579024,simulation_2023_2024_predictions.csv,A,19:45:00,D,5.5,3.8,1.67,,,,4.8,4.0,1.68,5.25,3.95,1.65,,,,5.41,4.1,1.66,5.0,3.6,1.55,both,2023-09-16,19:45:00,2023-09-16 19:45:00,33,A,False,20,0.6060606060606061,2.1243214656254374,1.68,BWA
2023-09-17,Cagliari,Udinese,0.3528937176580586,0.3256547604266995,0.3214515219152418,Home,0.3528937176580586,simulation_2023_2024_predictions.csv,H,11:30:00,D,2.88,3.3,2.5,,,,2.87,3.3,2.45,2.9,3.25,2.5,,,,2.9,3.27,2.65,2.7,3.1,2.3,both,2023-09-17,11:30:00,2023-09-17 11:30:00,34,H,False,20,0.5882352941176471,2.83371437337109,2.9,IWH
2023-09-17,Frosinone,Sassuolo,0.3431400135606904,0.2645902117030895,0.39226977473622,Away,0.39226977473622,simulation_2023_2024_predictions.csv,A,14:00:00,H,2.8,3.4,2.5,,,,2.7,3.5,2.45,2.75,3.45,2.5,,,,2.83,3.52,2.57,2.6,3.0,2.45,both,2023-09-17,14:00:00,2023-09-17 14:00:00,35,A,False,20,0.5714285714285714,2.5492660011147823,2.57,PSA
2023-09-17,Monza,Lecce,0.4818217788316706,0.3353854934086168,0.1827927277597126,Home,0.4818217788316706,simulation_2023_2024_predictions.csv,H,14:00:00,D,2.1,3.4,3.5,,,,2.1,3.4,3.5,2.15,3.4,3.45,,,,2.13,3.5,3.66,2.05,3.0,3.25,both,2023-09-17,14:00:00,2023-09-17 14:00:00,36,H,False,20,0.5555555555555556,2.0754562037955537,2.15,IWH
2023-09-17,Fiorentina,Atalanta,0.4637742888682457,0.2873762418111984,0.2488494693205556,Home,0.4637742888682457,simulation_2023_2024_predictions.csv,H,17:00:00,H,2.38,3.5,2.88,,,,2.4,3.5,2.75,2.45,3.5,2.8,,,,2.54,3.55,2.84,2.25,3.2,2.7,both,2023-09-17,17:00:00,2023-09-17 17:00:00,37,H,True,21,0.5675675675675675,2.1562212998920502,2.54,PSH
2023-09-17,Roma,Empoli,0.5699230942020539,0.2763850106984221,0.153691895099524,Home,0.5699230942020539,simulation_2023_2024_predictions.csv,H,19:45:00,H,1.44,4.5,7.5,,,,1.44,4.4,7.5,1.43,4.5,7.75,,,,1.43,4.66,8.61,1.35,4.0,7.5,both,2023-09-17,19:45:00,2023-09-17 19:45:00,38,H,True,22,0.5789473684210527,1.7546227029106345,1.44,B365H
2023-09-18,Salernitana,Torino,0.2125474480276007,0.2590256186655003,0.5284269333068989,Away,0.5284269333068989,simulation_2023_2024_predictions.csv,A,17:30:00,A,3.6,3.25,2.2,,,,3.4,3.25,2.2,3.45,3.2,2.25,,,,3.73,3.27,2.2,3.1,3.0,2.1,both,2023-09-18,17:30:00,2023-09-18 17:30:00,39,A,True,23,0.5897435897435898,1.8924092187012382,2.25,IWA
2023-09-18,Verona,Bologna,0.3104014903545417,0.309886474180749,0.3797120354647093,Away,0.3797120354647093,simulation_2023_2024_predictions.csv,A,19:45:00,D,3.1,3.3,2.38,,,,2.95,3.3,2.4,2.95,3.3,2.45,,,,3.15,3.39,2.41,2.8,3.0,2.3,both,2023-09-18,19:45:00,2023-09-18 19:45:00,40,A,False,23,0.575,2.633574673966163,2.45,IWA
2023-09-22,Salernitana,Frosinone,0.4521315235539098,0.3434769483336644,0.2043915281124257,Home,0.4521315235539098,simulation_2023_2024_predictions.csv,H,17:30:00,D,2.5,3.2,2.9,,,,2.45,3.2,2.95,2.55,3.25,2.85,,,,2.59,3.3,3.01,2.3,3.0,2.75,both,2023-09-22,17:30:00,2023-09-22 17:30:00,41,H,False,23,0.5609756097560976,2.21174580383083,2.59,PSH
2023-09-22,Lecce,Genoa,0.5613245671668222,0.2507533054585204,0.1879221273746574,Home,0.5613245671668222,simulation_2023_2024_predictions.csv,H,19:45:00,H,2.45,3.2,3.1,,,,2.45,3.1,3.1,2.45,3.15,3.05,,,,2.49,3.22,3.23,2.3,2.88,2.9,both,2023-09-22,19:45:00,2023-09-22 19:45:00,42,H,True,24,0.5714285714285714,1.7815005052198367,2.49,PSH
2023-09-23,Milan,Verona,0.7046804311705752,0.1958356016797369,0.0994839671496878,Home,0.7046804311705752,simulation_2023_2024_predictions.csv,H,14:00:00,H,1.36,4.75,9.0,,,,1.37,4.8,8.5,1.4,4.9,8.0,,,,1.39,4.95,9.16,1.3,4.33,7.5,both,2023-09-23,14:00:00,2023-09-23 14:00:00,43,H,True,25,0.5813953488372093,1.4190829711829185,1.4,IWH
