threshold,n_bets,wins,winrate_pct,final_capital,roi_pct,avg_profit_per_bet
0.3,106,49,46.22641509433962,104.77,4.769999999999996,0.044999999999999964
0.31,106,49,46.22641509433962,104.77,4.769999999999996,0.044999999999999964
0.32,100,44,44.0,97.08999999999999,-2.910000000000011,-0.029100000000000015
0.33,94,41,43.61702127659575,95.07,-4.930000000000007,-0.052446808510638314
0.34,91,40,43.956043956043956,95.44,-4.560000000000002,-0.050109890109890136
0.35000000000000003,89,40,44.9438202247191,97.44,-2.5600000000000023,-0.02876404494382025
0.36000000000000004,86,40,46.51162790697674,100.44,0.43999999999999767,0.00511627906976741
0.37000000000000005,84,39,46.42857142857143,100.03999999999999,0.03999999999999204,0.00047619047619045017
0.38000000000000006,80,37,46.25,99.22999999999999,-0.7700000000000102,-0.009625000000000028
0.39000000000000007,79,37,46.835443037974684,100.22999999999999,0.22999999999998977,0.002911392405063274
0.4000000000000001,74,33,44.5945945945946,95.88,-4.1200000000000045,-0.05567567567567569
0.4100000000000001,70,31,44.285714285714285,95.0,-5.0,-0.07142857142857145
0.4200000000000001,66,30,45.45454545454545,96.7,-3.299999999999997,-0.05000000000000001
0.4300000000000001,66,30,45.45454545454545,96.7,-3.299999999999997,-0.05000000000000001
0.4400000000000001,60,27,45.0,96.03,-3.9699999999999984,-0.06616666666666669
0.4500000000000001,55,26,47.27272727272727,98.53,-1.4699999999999989,-0.026727272727272742
0.46000000000000013,50,25,50.0,101.13,1.1299999999999955,0.02259999999999998
0.47000000000000014,48,23,47.91666666666667,98.02999999999999,-1.970000000000013,-0.04104166666666668
0.48000000000000015,47,22,46.808510638297875,96.68999999999998,-3.3100000000000165,-0.07042553191489366
0.49000000000000016,45,21,46.666666666666664,96.58999999999999,-3.410000000000011,-0.07577777777777782
0.5000000000000002,40,19,47.5,97.08999999999999,-2.910000000000011,-0.07275000000000006
0.5100000000000002,37,18,48.64864864864865,97.78999999999999,-2.210000000000008,-0.05972972972972978
0.5200000000000002,34,16,47.05882352941176,96.64999999999999,-3.3500000000000085,-0.09852941176470592
0.5300000000000002,32,15,46.875,96.71999999999998,-3.2800000000000153,-0.10250000000000002
0.5400000000000003,29,15,51.724137931034484,99.71999999999998,-0.28000000000001535,-0.00965517241379312
0.5500000000000003,27,14,51.85185185185185,99.39999999999999,-0.6000000000000085,-0.02222222222222224
0.5600000000000003,24,13,54.166666666666664,100.55999999999999,0.5599999999999881,0.023333333333333317
0.5700000000000003,21,12,57.14285714285714,101.46999999999998,1.4699999999999847,0.06999999999999999
0.5800000000000003,18,9,50.0,98.78999999999999,-1.210000000000008,-0.06722222222222224
0.5900000000000003,16,9,56.25,100.78999999999999,0.789999999999992,0.049374999999999974
0.6000000000000003,12,8,66.66666666666666,102.77999999999999,2.779999999999987,0.23166666666666666
0.6100000000000003,12,8,66.66666666666666,102.77999999999999,2.779999999999987,0.23166666666666666
0.6200000000000003,11,7,63.63636363636363,101.77999999999999,1.7799999999999867,0.1618181818181818
0.6300000000000003,9,6,66.66666666666666,101.84999999999998,1.84999999999998,0.20555555555555555
0.6400000000000003,7,5,71.42857142857143,101.96999999999998,1.9699999999999847,0.2814285714285714
0.6500000000000004,6,4,66.66666666666666,101.08999999999999,1.0899999999999892,0.18166666666666667
0.6600000000000004,3,2,66.66666666666666,100.38,0.37999999999999545,0.1266666666666667
0.6700000000000004,3,2,66.66666666666666,100.38,0.37999999999999545,0.1266666666666667
0.6800000000000004,2,1,50.0,99.58,-0.4200000000000017,-0.20999999999999996
0.6900000000000004,2,1,50.0,99.58,-0.4200000000000017,-0.20999999999999996
0.7000000000000004,2,1,50.0,99.58,-0.4200000000000017,-0.20999999999999996
0.7100000000000004,2,1,50.0,99.58,-0.4200000000000017,-0.20999999999999996
0.7200000000000004,1,1,100.0,100.58,0.5799999999999983,0.5800000000000001
0.7300000000000004,0,0,0.0,100.0,0.0,0.0
0.7400000000000004,0,0,0.0,100.0,0.0,0.0
0.7500000000000004,0,0,0.0,100.0,0.0,0.0
0.7600000000000005,0,0,0.0,100.0,0.0,0.0
0.7700000000000005,0,0,0.0,100.0,0.0,0.0
0.7800000000000005,0,0,0.0,100.0,0.0,0.0
0.7900000000000005,0,0,0.0,100.0,0.0,0.0
0.8000000000000005,0,0,0.0,100.0,0.0,0.0
