Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Remo Freuler,ch SUI,MF,25.0,35,33,3006.0,33.4,5.0,2.0,7.0,5.0,0.0,0.0,4.0,1.0,4.6,4.6,3.8,8.4,78.0,271.0,75.0,0.15,0.06,0.21,0.15,0.21,0.14,0.11,0.25,0.14,0.25,Matches
Bryan Cristante,it ITA,MF,22.0,36,33,2824.0,31.4,9.0,2.0,11.0,9.0,0.0,1.0,4.0,0.0,8.2,7.5,4.9,12.3,63.0,212.0,167.0,0.29,0.06,0.35,0.29,0.35,0.26,0.16,0.42,0.24,0.39,Matches
Etrit Berisha,al ALB,GK,28.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Papu Gómez,ar ARG,"MF,FW",29.0,33,31,2750.0,30.6,6.0,8.0,14.0,4.0,2.0,3.0,2.0,0.0,11.3,8.9,9.8,18.7,196.0,152.0,322.0,0.2,0.26,0.46,0.13,0.39,0.37,0.32,0.69,0.29,0.61,Matches
Andrea Masiello,it ITA,DF,31.0,31,30,2707.0,30.1,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,2.9,2.9,0.3,3.2,26.0,153.0,28.0,0.13,0.0,0.13,0.13,0.13,0.09,0.01,0.11,0.09,0.11,Matches
Marten de Roon,nl NED,MF,26.0,34,29,2571.0,28.6,3.0,3.0,6.0,2.0,1.0,2.0,10.0,1.0,3.4,1.8,1.4,3.2,31.0,205.0,33.0,0.11,0.11,0.21,0.07,0.18,0.12,0.05,0.17,0.06,0.11,Matches
Rafael Tolói,it ITA,DF,26.0,31,29,2445.0,27.2,1.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,2.1,2.1,1.6,3.7,38.0,149.0,24.0,0.04,0.07,0.11,0.04,0.11,0.08,0.06,0.14,0.08,0.14,Matches
Hans Hateboer,nl NED,DF,23.0,33,26,2398.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.2,2.2,1.3,3.5,73.0,113.0,218.0,0.0,0.04,0.04,0.0,0.04,0.08,0.05,0.13,0.08,0.13,Matches
Mattia Caldara,it ITA,DF,23.0,24,24,2160.0,24.0,3.0,1.0,4.0,3.0,0.0,1.0,5.0,0.0,3.3,2.6,0.1,2.6,10.0,42.0,4.0,0.12,0.04,0.17,0.12,0.17,0.14,0.0,0.14,0.11,0.11,Matches
