season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts
2011-2012,Chievo,0,26.0,28.0,50.05,38.0,418.0,3420.0,38.0,0.92,0.58,1.5,0.84,3.0,5.0,85.0,1.0,1.42,55.15,473.0,134.0,31.95,12.47,3.53,0.09,0.24,18.1,,,,,49
2011-2012,Fiorentina,0,28.0,27.0,50.05,38.0,418.0,3420.0,38.0,0.95,0.58,1.53,0.79,6.0,8.0,93.0,3.0,1.37,55.15,473.0,161.0,31.95,12.47,4.24,0.09,0.19,18.1,,,,,46
2011-2012,Genoa,0,29.0,28.3,50.05,38.0,418.0,3420.0,38.0,1.29,0.76,2.05,1.16,5.0,6.0,95.0,11.0,1.92,55.15,473.0,162.0,31.95,12.47,4.26,0.09,0.27,18.1,,,,,42
2011-2012,Inter,0,30.0,29.7,50.05,38.0,418.0,3420.0,38.0,1.5,1.03,2.53,1.29,8.0,11.0,63.0,4.0,2.32,55.15,473.0,199.0,31.95,12.47,5.24,0.09,0.25,18.1,,,,,58
2011-2012,Juventus,1,25.0,28.0,50.05,38.0,418.0,3420.0,38.0,1.76,1.18,2.95,1.71,2.0,4.0,72.0,4.0,2.89,55.15,473.0,264.0,31.95,12.47,6.95,0.09,0.25,18.1,,,,,84
2011-2012,Lazio,0,32.0,29.1,50.05,38.0,418.0,3420.0,38.0,1.42,0.97,2.39,1.24,7.0,7.0,81.0,9.0,2.21,55.15,473.0,180.0,31.95,12.47,4.74,0.09,0.26,18.1,,,,,62
2011-2012,Lecce,0,31.0,27.8,50.05,38.0,418.0,3420.0,38.0,1.05,0.55,1.61,0.89,6.0,7.0,113.0,9.0,1.45,55.15,473.0,140.0,31.95,12.47,3.68,0.09,0.24,18.1,,,,,36
2011-2012,Milan,0,32.0,29.1,50.05,38.0,418.0,3420.0,38.0,1.89,1.16,3.05,1.63,10.0,10.0,79.0,4.0,2.79,55.15,473.0,220.0,31.95,12.47,5.79,0.09,0.28,18.1,,,,,80
2011-2012,Napoli,0,25.0,28.3,50.05,38.0,418.0,3420.0,38.0,1.71,1.05,2.76,1.61,4.0,9.0,80.0,5.0,2.66,55.15,473.0,190.0,31.95,12.47,5.0,0.09,0.32,18.1,,,,,61
2011-2012,Novara,0,32.0,28.7,50.05,38.0,418.0,3420.0,38.0,0.89,0.45,1.34,0.74,6.0,7.0,83.0,6.0,1.18,55.15,473.0,153.0,31.95,12.47,4.03,0.09,0.18,18.1,,,,,32
2011-2012,Palermo,0,30.0,26.3,50.05,38.0,418.0,3420.0,38.0,1.32,0.89,2.21,1.18,5.0,5.0,91.0,6.0,2.08,55.15,473.0,189.0,31.95,12.47,4.97,0.09,0.24,18.1,,,,,43
2011-2012,Parma,0,32.0,28.2,50.05,38.0,418.0,3420.0,38.0,1.37,0.66,2.03,1.18,7.0,8.0,83.0,2.0,1.84,55.15,473.0,150.0,31.95,12.47,3.95,0.09,0.3,18.1,,,,,56
2011-2012,Roma,0,30.0,26.9,50.05,38.0,418.0,3420.0,38.0,1.55,1.05,2.61,1.5,2.0,4.0,80.0,10.0,2.55,55.15,473.0,213.0,31.95,12.47,5.61,0.09,0.27,18.1,,,,,56
2011-2012,Siena,0,29.0,28.2,50.05,38.0,418.0,3420.0,38.0,1.18,0.53,1.71,1.0,7.0,8.0,96.0,2.0,1.53,55.15,473.0,137.0,31.95,12.47,3.61,0.09,0.28,18.1,,,,,44
2011-2012,Udinese,0,26.0,26.7,50.05,38.0,418.0,3420.0,38.0,1.34,0.92,2.26,1.24,4.0,5.0,88.0,3.0,2.16,55.15,473.0,184.0,31.95,12.47,4.84,0.09,0.26,18.1,,,,,64
2012-2013,Atalanta,0,35.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.0,0.66,1.66,0.87,5.0,5.0,126.0,12.0,1.53,55.15,473.0,148.0,31.95,12.47,3.89,0.09,0.22,18.1,,,,,40
2012-2013,Bologna,0,31.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.18,0.74,1.92,1.08,4.0,5.0,106.0,3.0,1.82,55.15,473.0,165.0,31.95,12.47,4.34,0.09,0.25,18.1,,,,,44
2012-2013,Cagliari,0,25.0,26.1,50.05,38.0,408.0,3420.0,38.0,1.08,0.71,1.79,0.89,7.0,9.0,109.0,9.0,1.61,55.15,473.0,157.0,31.95,12.47,4.13,0.09,0.22,18.1,,,,,47
2012-2013,Catania,0,29.0,27.9,50.05,38.0,418.0,3420.0,38.0,1.32,1.0,2.32,1.29,1.0,2.0,95.0,7.0,2.29,55.15,473.0,155.0,31.95,12.47,4.08,0.09,0.32,18.1,,,,,56
2012-2013,Chievo,0,35.0,28.6,50.05,38.0,417.0,3420.0,38.0,0.97,0.63,1.61,0.84,5.0,6.0,105.0,4.0,1.47,55.15,473.0,121.0,31.95,12.47,3.18,0.09,0.26,18.1,,,,,45
2012-2013,Fiorentina,0,30.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.84,1.47,3.32,1.66,7.0,10.0,93.0,3.0,3.13,55.15,473.0,220.0,31.95,12.47,5.79,0.09,0.29,18.1,,,,,70
2012-2013,Genoa,0,37.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.0,0.82,1.82,0.95,2.0,4.0,105.0,4.0,1.76,55.15,473.0,160.0,31.95,12.47,4.21,0.09,0.23,18.1,,,,,38
