Season,Col1,Col2,Col3,Col4,Col5
2013-14,= Italian Serie A 2013/14,,,,
2013-14,» Matchday 1,,,,
2013-14,Sat Aug/24 2013,,,,
2013-14,18.00,Hellas Verona,v AC Milan,2-1 (1-1),
2013-14,20.45,Sampdoria,v Juventus,0-1 (0-0),
2013-14,Sun Aug/25,,,,
2013-14,18.00,Inter,v Genoa CFC,2-0 (0-0),
2013-14,20.45,Cagliari Calcio,v Atalanta,2-1 (1-1),
2013-14,Lazio Roma,v Udinese Calcio,2-1 (2-0),,
2013-14,AS Livorno,v AS Roma,0-2 (0-0),,
2013-14,SSC Napoli,v Bologna FC,3-0 (2-0),,
2013-14,Parma FC,v Chievo Verona,0-0,,
2013-14,Torino FC,v Sassuolo Calcio,2-0 (1-0),,
2013-14,Mon Aug/26,,,,
2013-14,20.45,ACF Fiorentina,v Calcio Catania,2-1 (2-1),
2013-14,» Matchday 2,,,,
2013-14,Sat Aug/31,,,,
2013-14,18.00,Chievo Verona,v SSC Napoli,2-4 (2-2),
2013-14,20.45,Juventus,v Lazio Roma,4-1 (2-1),
2013-14,Sun Sep/1,,,,
2013-14,18.00,AS Roma,v Hellas Verona,3-0 (0-0),
2013-14,20.45,Atalanta,v Torino FC,2-0 (0-0),
2013-14,Bologna FC,v Sampdoria,2-2 (1-1),,
2013-14,Calcio Catania,v Inter,0-3 (0-1),,
2013-14,Genoa CFC,v ACF Fiorentina,2-5 (0-3),,
2013-14,AC Milan,v Cagliari Calcio,3-1 (2-1),,
2013-14,Sassuolo Calcio,v AS Livorno,1-4 (0-1),,
2013-14,Udinese Calcio,v Parma FC,3-1 (1-0),,
2013-14,» Matchday 3,,,,
2013-14,Sat Sep/14,,,,
2013-14,18.00,Inter,v Juventus,1-1 (0-0),
2013-14,20.45,SSC Napoli,v Atalanta,2-0 (0-0),
2013-14,Torino FC,v AC Milan,2-2 (0-0),,
2013-14,Sun Sep/15,,,,
2013-14,12.30,ACF Fiorentina,v Cagliari Calcio,1-1 (0-0),
2013-14,15.00,Hellas Verona,v Sassuolo Calcio,2-0 (1-0),
2013-14,Lazio Roma,v Chievo Verona,3-0 (3-0),,
2013-14,AS Livorno,v Calcio Catania,2-0 (0-0),,
2013-14,Udinese Calcio,v Bologna FC,1-1 (0-0),,
2013-14,20.45,Sampdoria,v Genoa CFC,0-3 (0-1),
2013-14,Mon Sep/16,,,,
2013-14,20.45,Parma FC,v AS Roma,1-3 (1-0),
2013-14,» Matchday 4,,,,
2013-14,Sat Sep/21,,,,
2013-14,18.00,Cagliari Calcio,v Sampdoria,2-2 (1-0),
2013-14,Chievo Verona,v Udinese Calcio,2-1 (2-1),,
2013-14,20.45,Genoa CFC,v AS Livorno,0-0,
2013-14,Sun Sep/22,,,,
2013-14,12.30,Sassuolo Calcio,v Inter,0-7 (0-3),
2013-14,15.00,Atalanta,v ACF Fiorentina,0-2 (0-1),
2013-14,Bologna FC,v Torino FC,1-2 (1-2),,
2013-14,Calcio Catania,v Parma FC,0-0,,
2013-14,Juventus,v Hellas Verona,2-1 (2-1),,
2013-14,AS Roma,v Lazio Roma,2-0 (0-0),,
2013-14,20.45,AC Milan,v SSC Napoli,1-2 (0-1),
2013-14,» Matchday 5,,,,
2013-14,Tue Sep/24,,,,
2013-14,20.45,Udinese Calcio,v Genoa CFC,1-0 (0-0),
2013-14,Wed Sep/25,,,,
2013-14,20.45,Bologna FC,v AC Milan,3-3 (1-1),
2013-14,Chievo Verona,v Juventus,1-2 (1-0),,
2013-14,Lazio Roma,v Calcio Catania,3-1 (2-1),,
2013-14,AS Livorno,v Cagliari Calcio,1-1 (1-0),,
2013-14,SSC Napoli,v Sassuolo Calcio,1-1 (1-1),,
2013-14,Parma FC,v Atalanta,4-3 (4-2),,
2013-14,Sampdoria,v AS Roma,0-2 (0-0),,
2013-14,Torino FC,v Hellas Verona,2-2 (1-1),,
2013-14,Thu Sep/26,,,,
2013-14,20.45,Inter,v ACF Fiorentina,2-1 (0-0),
2013-14,» Matchday 6,,,,
2013-14,Sat Sep/28,,,,
2013-14,18.00,Genoa CFC,v SSC Napoli,0-2 (0-2),
2013-14,20.45,AC Milan,v Sampdoria,1-0 (0-0),
2013-14,Sun Sep/29,,,,
2013-14,12.30,Torino FC,v Juventus,0-1 (0-0),
2013-14,15.00,Atalanta,v Udinese Calcio,2-0 (1-0),
2013-14,Cagliari Calcio,v Inter,1-1 (0-0),,
2013-14,Calcio Catania,v Chievo Verona,2-0 (1-0),,
2013-14,Hellas Verona,v AS Livorno,2-1 (1-1),,
2013-14,Sassuolo Calcio,v Lazio Roma,2-2 (0-0),,
2013-14,20.45,AS Roma,v Bologna FC,5-0 (3-0),
2013-14,Mon Sep/30,,,,
2013-14,20.45,ACF Fiorentina,v Parma FC,2-2 (0-1),
2013-14,» Matchday 7,,,,
2013-14,Sat Oct/5,,,,
2013-14,18.00,Chievo Verona,v Atalanta,0-1 (0-1),
2013-14,20.45,Inter,v AS Roma,0-3 (0-3),
2013-14,Sun Oct/6,,,,
2013-14,12.30,Parma FC,v Sassuolo Calcio,3-1 (1-1),
2013-14,15.00,Bologna FC,v Hellas Verona,1-4 (0-2),
2013-14,Calcio Catania,v Genoa CFC,1-1 (0-0),,
2013-14,SSC Napoli,v AS Livorno,4-0 (2-0),,
2013-14,Sampdoria,v Torino FC,2-2 (1-0),,
2013-14,Udinese Calcio,v Cagliari Calcio,2-0 (1-0),,
2013-14,20.45,Juventus,v AC Milan,3-2 (1-1),
2013-14,Lazio Roma,v ACF Fiorentina,0-0,,
2013-14,» Matchday 8,,,,
2013-14,Fri Oct/18,,,,
2013-14,20.45,AS Roma,v SSC Napoli,2-0 (1-0),
2013-14,Sat Oct/19,,,,
2013-14,18.00,Cagliari Calcio,v Calcio Catania,2-1 (1-1),
2013-14,20.45,AC Milan,v Udinese Calcio,1-0 (1-0),
2013-14,Sun Oct/20,,,,
2013-14,12.30,Atalanta,v Lazio Roma,2-1 (1-0),
2013-14,15.00,ACF Fiorentina,v Juventus,4-2 (0-2),
2013-14,Genoa CFC,v Chievo Verona,2-1 (1-0),,
2013-14,Hellas Verona,v Parma FC,3-2 (1-2),,
2013-14,AS Livorno,v Sampdoria,1-2 (0-1),,
2013-14,Sassuolo Calcio,v Bologna FC,2-1 (2-1),,
2013-14,20.45,Torino FC,v Inter,3-3 (1-1),
2013-14,» Matchday 9,,,,
2013-14,Sat Oct/26,,,,
2013-14,18.00,Sampdoria,v Atalanta,1-0 (0-0),
2013-14,20.45,Inter,v Hellas Verona,4-2 (3-1),
2013-14,Sun Oct/27,,,,
2013-14,12.30,SSC Napoli,v Torino FC,2-0 (2-0),
2013-14,15.00,Bologna FC,v AS Livorno,1-0 (1-0),
2013-14,Calcio Catania,v Sassuolo Calcio,0-0,,
2013-14,Chievo Verona,v ACF Fiorentina,1-2 (1-1),,
2013-14,Juventus,v Genoa CFC,2-0 (2-0),,
2013-14,Parma FC,v AC Milan,3-2 (2-0),,
2013-14,Udinese Calcio,v AS Roma,0-1 (0-0),,
2013-14,20.45,Lazio Roma,v Cagliari Calcio,2-0 (0-0),
2013-14,» Matchday 10,,,,
2013-14,Tue Oct/29,,,,
2013-14,20.45,Atalanta,v Inter,1-1 (1-1),
2013-14,Wed Oct/30,,,,
2013-14,20.45,Cagliari Calcio,v Bologna FC,0-3 (0-1),
2013-14,ACF Fiorentina,v SSC Napoli,1-2 (1-2),,
2013-14,Genoa CFC,v Parma FC,1-0 (0-0),,
2013-14,Hellas Verona,v Sampdoria,2-0 (0-0),,
2013-14,Juventus,v Calcio Catania,4-0 (2-0),,
2013-14,AS Livorno,v Torino FC,3-3 (2-2),,
2013-14,AC Milan,v Lazio Roma,1-1 (0-0),,
2013-14,Sassuolo Calcio,v Udinese Calcio,1-2 (1-1),,
2013-14,Thu Oct/31,,,,
2013-14,20.45,AS Roma,v Chievo Verona,1-0 (0-0),
2013-14,» Matchday 11,,,,
2013-14,Sat Nov/2,,,,
2013-14,18.00,Parma FC,v Juventus,0-1 (0-0),
2013-14,20.45,AC Milan,v ACF Fiorentina,0-2 (0-1),
2013-14,SSC Napoli,v Calcio Catania,2-1 (2-1),,
2013-14,Sun Nov/3,,,,
2013-14,12.30,AS Livorno,v Atalanta,1-0 (1-0),
2013-14,15.00,Hellas Verona,v Cagliari Calcio,2-1 (1-0),
2013-14,Lazio Roma,v Genoa CFC,0-2 (0-0),,
2013-14,Sampdoria,v Sassuolo Calcio,3-4 (1-0),,
2013-14,Udinese Calcio,v Inter,0-3 (0-2),,
2013-14,20.45,Torino FC,v AS Roma,1-1 (0-1),
2013-14,Mon Nov/4,,,,
2013-14,20.45,Bologna FC,v Chievo Verona,0-0,
2013-14,» Matchday 12,,,,
2013-14,Sat Nov/9,,,,
2013-14,18.00,Calcio Catania,v Udinese Calcio,1-0 (1-0),
2013-14,20.45,Inter,v AS Livorno,2-0 (1-0),
2013-14,Sun Nov/10,,,,
2013-14,12.30,Genoa CFC,v Hellas Verona,2-0 (2-0),
2013-14,15.00,Atalanta,v Bologna FC,2-1 (0-0),
2013-14,Cagliari Calcio,v Torino FC,2-1 (1-0),,
2013-14,Chievo Verona,v AC Milan,0-0,,
2013-14,Parma FC,v Lazio Roma,1-1 (0-0),,
2013-14,AS Roma,v Sassuolo Calcio,1-1 (1-0),,
2013-14,20.45,ACF Fiorentina,v Sampdoria,2-1 (2-0),
2013-14,Juventus,v SSC Napoli,3-0 (1-0),,
2013-14,» Matchday 13,,,,
2013-14,Sat Nov/23,,,,
2013-14,18.00,Hellas Verona,v Chievo Verona,0-1 (0-0),
2013-14,20.45,AC Milan,v Genoa CFC,1-1 (1-1),
2013-14,SSC Napoli,v Parma FC,0-1 (0-0),,
2013-14,Sun Nov/24,,,,
2013-14,15.00,AS Livorno,v Juventus,0-2 (0-0),
2013-14,Sampdoria,v Lazio Roma,1-1 (0-0),,
2013-14,Sassuolo Calcio,v Atalanta,2-0 (0-0),,
2013-14,Torino FC,v Calcio Catania,4-1 (2-0),,
2013-14,Udinese Calcio,v ACF Fiorentina,1-0 (1-0),,
2013-14,20.45,Bologna FC,v Inter,1-1 (1-0),
2013-14,Mon Nov/25,,,,
2013-14,20.45,AS Roma,v Cagliari Calcio,0-0,
2013-14,» Matchday 14,,,,
2013-14,Sat Nov/30,,,,
2013-14,18.00,Parma FC,v Bologna FC,1-1 (1-1),
2013-14,20.45,Genoa CFC,v Torino FC,1-1 (0-1),
2013-14,Sun Dec/1,,,,
2013-14,12.30,Calcio Catania,v AC Milan,1-3 (1-1),
2013-14,15.00,Atalanta,v AS Roma,1-1 (0-0),
2013-14,Cagliari Calcio,v Sassuolo Calcio,2-2 (0-2),,
2013-14,Chievo Verona,v AS Livorno,3-0 (1-0),,
2013-14,Inter,v Sampdoria,1-1 (1-0),,
2013-14,18.30,Juventus,v Udinese Calcio,1-0 (0-0),
2013-14,Mon Dec/2,,,,
2013-14,19.00,ACF Fiorentina,v Hellas Verona,4-3 (3-2),
2013-14,21.00,Lazio Roma,v SSC Napoli,2-4 (1-1),
2013-14,» Matchday 15,,,,
2013-14,Fri Dec/6,,,,
2013-14,20.45,Bologna FC,v Juventus,0-2 (0-1),
2013-14,Sat Dec/7,,,,
2013-14,18.00,AS Livorno,v AC Milan,2-2 (1-1),
2013-14,20.45,SSC Napoli,v Udinese Calcio,3-3 (2-1),
2013-14,Sun Dec/8,,,,
2013-14,12.30,AS Roma,v ACF Fiorentina,2-1 (1-1),
2013-14,15.00,Cagliari Calcio,v Genoa CFC,2-1 (0-1),
2013-14,Hellas Verona,v Atalanta,2-1 (0-1),,
2013-14,Sampdoria,v Calcio Catania,2-0 (0-0),,
2013-14,Sassuolo Calcio,v Chievo Verona,0-1 (0-0),,
2013-14,Torino FC,v Lazio Roma,1-0 (1-0),,
2013-14,20.45,Inter,v Parma FC,3-3 (1-2),
2013-14,» Matchday 16,,,,
2013-14,Sat Dec/14,,,,
2013-14,20.45,Calcio Catania,v Hellas Verona,0-0,
2013-14,Sun Dec/15,,,,
2013-14,15.00,Chievo Verona,v Sampdoria,0-1 (0-1),
2013-14,ACF Fiorentina,v Bologna FC,3-0 (2-0),,
2013-14,Genoa CFC,v Atalanta,1-1 (0-0),,
2013-14,Lazio Roma,v AS Livorno,2-0 (2-0),,
2013-14,Parma FC,v Cagliari Calcio,0-0,,
2013-14,Udinese Calcio,v Torino FC,0-2 (0-0),,
2013-14,18.30,Juventus,v Sassuolo Calcio,4-0 (3-0),
2013-14,20.45,SSC Napoli,v Inter,4-2 (3-2),
2013-14,Mon Dec/16,,,,
2013-14,20.45,AC Milan,v AS Roma,2-2 (1-1),
2013-14,» Matchday 17,,,,
2013-14,Sat Dec/21,,,,
2013-14,18.00,AS Livorno,v Udinese Calcio,1-2 (1-1),
2013-14,20.45,Cagliari Calcio,v SSC Napoli,1-1 (1-1),
2013-14,Sun Dec/22,,,,
2013-14,12.30,Bologna FC,v Genoa CFC,1-0 (0-0),
2013-14,15.00,Atalanta,v Juventus,1-4 (1-1),
2013-14,Hellas Verona,v Lazio Roma,4-1 (2-1),,
2013-14,AS Roma,v Calcio Catania,4-0 (1-0),,
2013-14,Sampdoria,v Parma FC,1-1 (1-0),,
2013-14,Sassuolo Calcio,v ACF Fiorentina,0-1 (0-0),,
2013-14,Torino FC,v Chievo Verona,4-1 (1-1),,
2013-14,20.45,Inter,v AC Milan,1-0 (0-0),
2013-14,» Matchday 18,,,,
2013-14,Sun Jan/5 2014,,,,
2013-14,15.00,Chievo Verona,v Cagliari Calcio,0-0,
2013-14,18.00,ACF Fiorentina,v AS Livorno,1-0 (0-0),
2013-14,20.45,Juventus,v AS Roma,3-0 (1-0),
2013-14,Mon Jan/6,,,,
2013-14,12.30,SSC Napoli,v Sampdoria,2-0 (0-0),
2013-14,15.00,Calcio Catania,v Bologna FC,2-0 (1-0),
2013-14,Genoa CFC,v Sassuolo Calcio,2-0 (2-0),,
2013-14,AC Milan,v Atalanta,3-0 (1-0),,
2013-14,Parma FC,v Torino FC,3-1 (2-1),,
2013-14,Udinese Calcio,v Hellas Verona,1-3 (1-2),,
2013-14,18.30,Lazio Roma,v Inter,1-0 (0-0),
2013-14,» Matchday 19,,,,
2013-14,Sat Jan/11,,,,
2013-14,18.00,AS Livorno,v Parma FC,0-3 (0-1),
2013-14,20.45,Bologna FC,v Lazio Roma,0-0,
2013-14,Sun Jan/12,,,,
2013-14,12.30,Torino FC,v ACF Fiorentina,0-0,
2013-14,15.00,Atalanta,v Calcio Catania,2-1 (0-0),
2013-14,Cagliari Calcio,v Juventus,1-4 (1-1),,
2013-14,Hellas Verona,v SSC Napoli,0-3 (0-1),,
2013-14,AS Roma,v Genoa CFC,4-0 (3-0),,
2013-14,20.45,Sassuolo Calcio,v AC Milan,4-3 (3-2),
2013-14,Mon Jan/13,,,,
2013-14,19.00,Sampdoria,v Udinese Calcio,3-0 (1-0),
2013-14,21.00,Inter,v Chievo Verona,1-1 (1-1),
2013-14,» Matchday 20,,,,
2013-14,Sat Jan/18,,,,
2013-14,18.00,AS Roma,v AS Livorno,3-0 (2-0),
2013-14,20.45,Juventus,v Sampdoria,4-2 (3-1),
2013-14,Sun Jan/19,,,,
2013-14,12.30,Udinese Calcio,v Lazio Roma,2-3 (1-0),
2013-14,15.00,Atalanta,v Cagliari Calcio,1-0 (0-0),
2013-14,Calcio Catania,v ACF Fiorentina,0-3 (0-3),,
2013-14,Genoa CFC,v Inter,1-0 (0-0),,
2013-14,Bologna FC,v SSC Napoli,2-2 (1-0),,
2013-14,Chievo Verona,v Parma FC,1-2 (1-1),,
2013-14,Sassuolo Calcio,v Torino FC,0-2 (0-1),,
2013-14,20.45,AC Milan,v Hellas Verona,1-0 (0-0),
2013-14,» Matchday 21,,,,
2013-14,Sat Jan/25,,,,
2013-14,18.00,SSC Napoli,v Chievo Verona,1-1 (0-1),
2013-14,20.45,Lazio Roma,v Juventus,1-1 (1-0),
2013-14,Sun Jan/26,,,,
2013-14,12.30,Hellas Verona,v AS Roma,1-3 (0-1),
2013-14,15.00,Torino FC,v Atalanta,1-0 (0-0),
2013-14,Sampdoria,v Bologna FC,1-1 (0-0),,
2013-14,Inter,v Calcio Catania,0-0,,
2013-14,Cagliari Calcio,v AC Milan,1-2 (1-0),,
2013-14,AS Livorno,v Sassuolo Calcio,3-1 (3-1),,
2013-14,Parma FC,v Udinese Calcio,1-0 (1-0),,
2013-14,20.45,ACF Fiorentina,v Genoa CFC,3-3 (2-2),
2013-14,» Matchday 22,,,,
2013-14,Sat Feb/1,,,,
2013-14,18.00,Cagliari Calcio,v ACF Fiorentina,1-0 (1-0),
2013-14,Bologna FC,v Udinese Calcio,0-2 (0-1),,
2013-14,20.45,AC Milan,v Torino FC,1-1 (0-1),
2013-14,Sun Feb/2,,,,
2013-14,15.00,Sassuolo Calcio,v Hellas Verona,1-2 (0-0),
2013-14,Chievo Verona,v Lazio Roma,0-2 (0-1),,
2013-14,Calcio Catania,v AS Livorno,3-3 (0-0),,
2013-14,Atalanta,v SSC Napoli,3-0 (0-0),,
2013-14,20.45,Juventus,v Inter,3-1 (1-0),
2013-14,Mon Feb/3,,,,
2013-14,20.45,Genoa CFC,v Sampdoria,0-1 (0-1),
2013-14,Wed Apr/2,,,,
2013-14,18.30,AS Roma,v Parma FC,4-2 (2-1),
2013-14,» Matchday 23,,,,
2013-14,Sat Feb/8,,,,
2013-14,18.00,ACF Fiorentina,v Atalanta,2-0 (1-0),
2013-14,Udinese Calcio,v Chievo Verona,3-0 (0-0),,
2013-14,20.45,SSC Napoli,v AC Milan,3-1 (1-1),
2013-14,Sun Feb/9,,,,
2013-14,12.30,Torino FC,v Bologna FC,1-2 (1-2),
2013-14,15.00,Sampdoria,v Cagliari Calcio,1-0 (1-0),
2013-14,Parma FC,v Calcio Catania,0-0,,
2013-14,AS Livorno,v Genoa CFC,0-1 (0-1),,
2013-14,Hellas Verona,v Juventus,2-2 (0-2),,
2013-14,Lazio Roma,v AS Roma,0-0,,
2013-14,20.45,Inter,v Sassuolo Calcio,1-0 (0-0),
2013-14,» Matchday 24,,,,
2013-14,Fri Feb/14,,,,
2013-14,20.45,AC Milan,v Bologna FC,1-0 (0-0),
2013-14,Sat Feb/15,,,,
2013-14,20.45,ACF Fiorentina,v Inter,1-2 (0-1),
2013-14,Sun Feb/16,,,,
2013-14,12.30,Calcio Catania,v Lazio Roma,3-1 (1-1),
2013-14,15.00,Juventus,v Chievo Verona,3-1 (2-0),
2013-14,Cagliari Calcio,v AS Livorno,1-2 (0-1),,
2013-14,Sassuolo Calcio,v SSC Napoli,0-2 (0-1),,
2013-14,Atalanta,v Parma FC,0-4 (0-1),,
2013-14,Genoa CFC,v Udinese Calcio,3-3 (1-2),,
2013-14,20.45,AS Roma,v Sampdoria,3-0 (1-0),
2013-14,Mon Feb/17,,,,
2013-14,20.45,Hellas Verona,v Torino FC,1-3 (1-0),
2013-14,» Matchday 25,,,,
2013-14,Sat Feb/22,,,,
2013-14,20.45,Bologna FC,v AS Roma,0-1 (0-1),
2013-14,Sun Feb/23,,,,
2013-14,12.30,AS Livorno,v Hellas Verona,2-3 (0-3),
2013-14,15.00,Udinese Calcio,v Atalanta,1-1 (0-1),
2013-14,Inter,v Cagliari Calcio,1-1 (0-1),,
2013-14,Chievo Verona,v Calcio Catania,2-0 (1-0),,
2013-14,Sampdoria,v AC Milan,0-2 (0-1),,
2013-14,18.30,Juventus,v Torino FC,1-0 (1-0),
2013-14,20.45,Lazio Roma,v Sassuolo Calcio,3-2 (1-0),
2013-14,Mon Feb/24,,,,
2013-14,19.00,Parma FC,v ACF Fiorentina,2-2 (1-1),
2013-14,21.00,SSC Napoli,v Genoa CFC,1-1 (1-0),
2013-14,» Matchday 26,,,,
2013-14,Sat Mar/1,,,,
2013-14,20.45,AS Roma,v Inter,0-0,
2013-14,Sun Mar/2,,,,
2013-14,12.30,Cagliari Calcio,v Udinese Calcio,3-0 (1-0),
2013-14,15.00,Hellas Verona,v Bologna FC,0-0,
2013-14,Genoa CFC,v Calcio Catania,2-0 (1-0),,
2013-14,Atalanta,v Chievo Verona,2-1 (1-0),,
2013-14,Sassuolo Calcio,v Parma FC,0-1 (0-1),,
2013-14,Torino FC,v Sampdoria,0-2 (0-1),,
2013-14,18.30,AS Livorno,v SSC Napoli,1-1 (1-1),
2013-14,20.45,AC Milan,v Juventus,0-2 (0-1),
2013-14,ACF Fiorentina,v Lazio Roma,0-1 (0-1),,
2013-14,» Matchday 27,,,,
2013-14,Sat Mar/8,,,,
2013-14,18.00,Udinese Calcio,v AC Milan,1-0 (0-0),
2013-14,20.45,Calcio Catania,v Cagliari Calcio,1-1 (0-0),
2013-14,Sun Mar/9,,,,
2013-14,12.30,Juventus,v ACF Fiorentina,1-0 (1-0),
2013-14,15.00,Lazio Roma,v Atalanta,0-1 (0-0),
2013-14,Chievo Verona,v Genoa CFC,2-1 (1-0),,
2013-14,Parma FC,v Hellas Verona,2-0 (1-0),,
2013-14,Sampdoria,v AS Livorno,4-2 (0-2),,
2013-14,Bologna FC,v Sassuolo Calcio,0-0,,
2013-14,Inter,v Torino FC,1-0 (1-0),,
2013-14,20.45,SSC Napoli,v AS Roma,1-0 (0-0),
2013-14,» Matchday 28,,,,
2013-14,Sat Mar/15,,,,
2013-14,20.45,Hellas Verona,v Inter,0-2 (0-1),
2013-14,Sun Mar/16,,,,
2013-14,12.30,Atalanta,v Sampdoria,3-0 (2-0),
2013-14,15.00,AS Livorno,v Bologna FC,2-1 (0-0),
2013-14,Sassuolo Calcio,v Calcio Catania,3-1 (0-1),,
2013-14,Cagliari Calcio,v Lazio Roma,0-2 (0-1),,
2013-14,AC Milan,v Parma FC,2-4 (0-1),,
2013-14,20.45,ACF Fiorentina,v Chievo Verona,3-1 (2-0),
2013-14,Genoa CFC,v Juventus,0-1 (0-0),,
2013-14,Mon Mar/17,,,,
2013-14,19.00,Torino FC,v SSC Napoli,0-1 (0-0),
2013-14,21.00,AS Roma,v Udinese Calcio,3-2 (2-0),
2013-14,» Matchday 29,,,,
2013-14,Sat Mar/22,,,,
2013-14,18.00,Torino FC,v AS Livorno,3-1 (1-0),
2013-14,20.45,Chievo Verona,v AS Roma,0-2 (0-2),
2013-14,Sun Mar/23,,,,
2013-14,12.30,Parma FC,v Genoa CFC,1-1 (1-1),
2013-14,15.00,Inter,v Atalanta,1-2 (1-1),
2013-14,Bologna FC,v Cagliari Calcio,1-0 (0-0),,
2013-14,Sampdoria,v Hellas Verona,5-0 (3-0),,
2013-14,Udinese Calcio,v Sassuolo Calcio,1-0 (1-0),,
2013-14,18.30,SSC Napoli,v ACF Fiorentina,0-1 (0-0),
2013-14,20.45,Calcio Catania,v Juventus,0-1 (0-0),
2013-14,Lazio Roma,v AC Milan,1-1 (0-1),,
2013-14,» Matchday 30,,,,
2013-14,Tue Mar/25,,,,
2013-14,20.45,AS Roma,v Torino FC,2-1 (1-0),
2013-14,Wed Mar/26,,,,
2013-14,20.45,Chievo Verona,v Bologna FC,3-0 (1-0),
2013-14,Cagliari Calcio,v Hellas Verona,1-0 (1-0),,
2013-14,Genoa CFC,v Lazio Roma,2-0 (0-0),,
2013-14,Atalanta,v AS Livorno,2-0 (1-0),,
2013-14,ACF Fiorentina,v AC Milan,0-2 (0-1),,
2013-14,Calcio Catania,v SSC Napoli,2-4 (0-4),,
2013-14,Juventus,v Parma FC,2-1 (2-0),,
2013-14,Sassuolo Calcio,v Sampdoria,1-2 (1-1),,
2013-14,Thu Mar/27,,,,
2013-14,20.45,Inter,v Udinese Calcio,0-0,
2013-14,» Matchday 31,,,,
2013-14,Sat Mar/29,,,,
2013-14,18.00,Bologna FC,v Atalanta,0-2 (0-2),
2013-14,20.45,AC Milan,v Chievo Verona,3-0 (2-0),
2013-14,Sun Mar/30,,,,
2013-14,12.30,Sassuolo Calcio,v AS Roma,0-2 (0-1),
2013-14,15.00,Torino FC,v Cagliari Calcio,2-1 (1-0),
2013-14,Sampdoria,v ACF Fiorentina,0-0,,
2013-14,Hellas Verona,v Genoa CFC,3-0 (1-0),,
2013-14,Lazio Roma,v Parma FC,3-2 (1-1),,
2013-14,20.45,SSC Napoli,v Juventus,2-0 (1-0),
2013-14,Mon Mar/31,,,,
2013-14,19.00,Udinese Calcio,v Calcio Catania,1-0 (0-0),
2013-14,21.00,AS Livorno,v Inter,2-2 (0-2),
2013-14,» Matchday 32,,,,
2013-14,Sat Apr/5,,,,
2013-14,18.00,Chievo Verona,v Hellas Verona,0-1 (0-0),
2013-14,20.45,Inter,v Bologna FC,2-2 (1-1),
2013-14,Sun Apr/6,,,,
2013-14,12.30,Lazio Roma,v Sampdoria,2-0 (1-0),
2013-14,15.00,Cagliari Calcio,v AS Roma,1-3 (0-1),
2013-14,Atalanta,v Sassuolo Calcio,0-2 (0-1),,
2013-14,Calcio Catania,v Torino FC,1-2 (1-0),,
2013-14,ACF Fiorentina,v Udinese Calcio,2-1 (1-0),,
2013-14,20.45,Parma FC,v SSC Napoli,1-0 (0-0),
2013-14,Mon Apr/7,,,,
2013-14,19.00,Juventus,v AS Livorno,2-0 (2-0),
2013-14,21.00,Genoa CFC,v AC Milan,1-2 (0-1),
2013-14,» Matchday 33,,,,
2013-14,Sat Apr/12,,,,
2013-14,18.00,Sassuolo Calcio,v Cagliari Calcio,1-1 (1-0),
2013-14,20.45,AS Roma,v Atalanta,3-1 (2-0),
2013-14,Sun Apr/13,,,,
2013-14,12.30,Bologna FC,v Parma FC,1-1 (1-0),
2013-14,15.00,AS Livorno,v Chievo Verona,2-4 (2-3),
2013-14,Hellas Verona,v ACF Fiorentina,3-5 (1-2),,
2013-14,Torino FC,v Genoa CFC,2-1 (0-0),,
2013-14,Sampdoria,v Inter,0-4 (0-1),,
2013-14,SSC Napoli,v Lazio Roma,4-2 (1-1),,
2013-14,20.45,AC Milan,v Calcio Catania,1-0 (1-0),
2013-14,Mon Apr/14,,,,
2013-14,20.45,Udinese Calcio,v Juventus,0-2 (0-2),
2013-14,» Matchday 34,,,,
2013-14,Sat Apr/19,,,,
2013-14,15.00,Genoa CFC,v Cagliari Calcio,1-2 (1-1),
2013-14,Atalanta,v Hellas Verona,1-2 (0-0),,
2013-14,Parma FC,v Inter,0-2 (0-0),,
2013-14,AC Milan,v AS Livorno,3-0 (1-0),,
2013-14,Udinese Calcio,v SSC Napoli,1-1 (0-1),,
2013-14,Calcio Catania,v Sampdoria,2-1 (1-0),,
2013-14,Chievo Verona,v Sassuolo Calcio,0-1 (0-1),,
2013-14,Lazio Roma,v Torino FC,3-3 (1-0),,
2013-14,18.30,Juventus,v Bologna FC,1-0 (0-0),
2013-14,21.00,ACF Fiorentina,v AS Roma,0-1 (0-1),
2013-14,» Matchday 35,,,,
2013-14,Fri Apr/25,,,,
2013-14,20.45,AS Roma,v AC Milan,2-0 (1-0),
2013-14,Sat Apr/26,,,,
2013-14,18.00,Bologna FC,v ACF Fiorentina,0-3 (0-2),
2013-14,20.45,Inter,v SSC Napoli,0-0,
2013-14,Sun Apr/27,,,,
2013-14,12.30,Hellas Verona,v Calcio Catania,4-0 (3-0),
2013-14,15.00,Sampdoria,v Chievo Verona,2-1 (0-0),
2013-14,AS Livorno,v Lazio Roma,0-2 (0-1),,
2013-14,Cagliari Calcio,v Parma FC,1-0 (1-0),,
2013-14,Torino FC,v Udinese Calcio,2-0 (1-0),,
2013-14,20.45,Atalanta,v Genoa CFC,1-1 (0-1),
2013-14,Mon Apr/28,,,,
2013-14,20.45,Sassuolo Calcio,v Juventus,1-3 (1-1),
2013-14,» Matchday 36,,,,
2013-14,Sun May/4,,,,
2013-14,15.00,Genoa CFC,v Bologna FC,0-0,
