Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ciprian Tătărușanu,ro ROU,GK,29.0,37,37,3310.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonzalo Rodríguez,ar ARG,DF,31.0,35,35,3140.0,34.9,4.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Borja Valero,es ESP,MF,30.0,37,35,3093.0,34.4,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,0.12,0.17,0.29,0.12,0.29,Matches
Davide Astori,it ITA,DF,28.0,33,32,2901.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matías Vecino,uy URU,"FW,MF",23.0,30,27,2396.0,26.6,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.08,0.04,0.11,0.08,0.11,Matches
Facundo Roncaglia,ar ARG,DF,28.0,30,26,2435.0,27.1,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Marcos Alonso,es ESP,"DF,MF",24.0,31,26,2347.0,26.1,3.0,4.0,7.0,3.0,0.0,0.0,8.0,0.0,0.12,0.15,0.27,0.12,0.27,Matches
Nikola Kalinić,hr CRO,FW,27.0,36,25,2576.0,28.6,12.0,3.0,15.0,12.0,0.0,1.0,5.0,0.0,0.42,0.1,0.52,0.42,0.52,Matches
Federico Bernardeschi,it ITA,"DF,FW",21.0,33,25,2272.0,25.2,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.08,0.16,0.24,0.08,0.24,Matches
Milan Badelj,hr CRO,MF,26.0,27,25,2129.0,23.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches
Josip Iličić,si SVN,"FW,MF",27.0,30,24,1907.0,21.2,13.0,5.0,18.0,6.0,7.0,7.0,2.0,0.0,0.61,0.24,0.85,0.28,0.52,Matches
Nenad Tomović,rs SRB,DF,27.0,24,19,1673.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Tello,es ESP,"FW,MF",23.0,15,13,1072.0,11.9,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.17,0.34,0.5,0.17,0.5,Matches
Manuel Pasqual,it ITA,"DF,MF",33.0,17,12,1031.0,11.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
Matías Fernández,cl CHI,MF,29.0,22,11,1079.0,12.0,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,0.08,0.25,0.33,0.08,0.33,Matches
