Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Michele Rocca,it ITA,MF,19.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paweł Wszołek,pl POL,"DF,MF",23.0,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrés Ponce,ve VEN,FW,18.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giacomo Calò,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Edoardo Oneto,it ITA,FW,19.0,0,0,,,,,,,,,,,,,,,,Matches
Pedro Pereira,pt POR,"DF,MF",17.0,0,0,,,,,,,,,,,,,,,,Matches
Christian Puggioni,it ITA,GK,34.0,0,0,,,,,,,,,,,,,,,,Matches
Leonardo Serinelli,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.5,38,418,3420.0,38.0,45.0,30.0,75.0,42.0,3.0,3.0,111.0,0.0,1.18,0.79,1.97,1.11,1.89,
Opponent Total,,,27.3,38,418,3420.0,38.0,59.0,43.0,102.0,53.0,6.0,10.0,108.0,3.0,1.55,1.13,2.68,1.39,2.53,
