Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,32,25.2,50.2,38,417,3420,38.0,62,43,105,57,5,5,90,2,1.63,1.13,2.76,1.5,2.63
Bologna,28,26.3,46.3,38,418,3420,38.0,39,29,68,38,1,2,87,2,1.03,0.76,1.79,1.0,1.76
Cagliari,34,28.7,43.2,38,418,3420,38.0,53,30,83,49,4,6,104,3,1.39,0.79,2.18,1.29,2.08
Chievo,29,31.3,46.7,38,418,3420,38.0,42,29,71,38,4,5,88,3,1.11,0.76,1.87,1.0,1.76
Crotone,31,26.0,37.1,38,418,3420,38.0,34,22,56,30,4,5,93,3,0.89,0.58,1.47,0.79,1.37
Empoli,29,26.8,49.0,38,418,3420,38.0,29,19,48,25,4,5,107,0,0.76,0.5,1.26,0.66,1.16
Fiorentina,30,27.3,58.3,38,418,3420,38.0,62,46,108,56,6,10,98,3,1.63,1.21,2.84,1.47,2.68
Genoa,33,26.9,48.8,38,418,3420,38.0,36,30,66,34,2,3,97,4,0.95,0.79,1.74,0.89,1.68
Inter,29,27.5,56.4,38,418,3420,38.0,70,55,125,67,3,5,81,3,1.84,1.45,3.29,1.76,3.21
Juventus,27,29.1,57.0,38,418,3420,38.0,72,49,121,69,3,3,70,0,1.89,1.29,3.18,1.82,3.11
Lazio,30,26.0,51.0,38,418,3420,38.0,73,47,120,61,12,14,96,3,1.92,1.24,3.16,1.61,2.84
Milan,28,25.0,54.1,38,418,3420,38.0,55,39,94,48,7,12,98,9,1.45,1.03,2.47,1.26,2.29
Napoli,26,26.9,62.1,38,418,3420,38.0,94,68,162,89,5,6,58,0,2.47,1.79,4.26,2.34,4.13
Palermo,30,26.1,45.6,38,418,3420,38.0,33,24,57,32,1,1,107,6,0.87,0.63,1.5,0.84,1.47
Pescara,34,26.6,46.4,38,418,3420,38.0,32,27,59,30,2,6,98,3,0.84,0.71,1.55,0.79,1.5
Roma,22,26.7,57.1,38,418,3420,38.0,88,59,147,76,12,14,64,0,2.32,1.55,3.87,2.0,3.55
Sampdoria,24,26.6,52.3,38,418,3420,38.0,45,31,76,38,7,8,75,1,1.18,0.82,2.0,1.0,1.82
Sassuolo,28,26.7,46.8,38,418,3420,38.0,59,36,95,50,9,10,90,0,1.55,0.95,2.5,1.32,2.26
Torino,29,26.4,50.7,38,418,3420,38.0,70,54,124,65,5,9,88,3,1.84,1.42,3.26,1.71,3.13
Udinese,29,26.7,41.8,38,418,3420,38.0,47,29,76,45,2,3,85,0,1.24,0.76,2.0,1.18,1.95
