stagione,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2012-2013,Inter,36,28.2,,38,418,3420,38.0,52,42,94,48,4,5,87,4,1.37,1.11,2.47,1.26,2.37
2012-2013,Juventus,28,27.8,,38,418,3420,38.0,71,49,120,63,8,11,77,1,1.87,1.29,3.16,1.66,2.95
2012-2013,Lazio,28,29.1,,38,418,3420,38.0,48,30,78,41,7,9,91,8,1.26,0.79,2.05,1.08,1.87
2012-2013,Milan,29,26.9,,38,418,3420,38.0,64,36,100,54,10,11,99,7,1.68,0.95,2.63,1.42,2.37
2012-2013,Napoli,27,28.5,,38,418,3420,38.0,72,55,127,65,7,10,90,0,1.89,1.45,3.34,1.71,3.16
2012-2013,Palermo,36,26.9,,38,418,3420,38.0,34,26,60,32,2,2,98,8,0.89,0.68,1.58,0.84,1.53
2012-2013,Parma,33,28.1,,38,418,3420,38.0,44,29,73,41,3,5,109,3,1.16,0.76,1.92,1.08,1.84
2012-2013,Pescara,39,25.8,,38,418,3420,38.0,27,15,42,25,2,3,103,9,0.71,0.39,1.11,0.66,1.05
2012-2013,Roma,24,26.0,,38,407,3420,38.0,68,43,111,63,5,7,91,8,1.79,1.13,2.92,1.66,2.79
2012-2013,Sampdoria,29,25.0,,38,418,3420,38.0,41,29,70,35,6,7,93,9,1.08,0.76,1.84,0.92,1.68
2012-2013,Siena,37,28.9,,38,418,3420,38.0,35,28,63,31,4,7,108,6,0.92,0.74,1.66,0.82,1.55
2012-2013,Torino,29,27.7,,38,418,3420,38.0,45,32,77,40,5,6,86,5,1.18,0.84,2.03,1.05,1.89
2012-2013,Udinese,30,26.3,,38,418,3420,38.0,59,37,96,55,4,6,90,6,1.55,0.97,2.53,1.45,2.42
2013-2014,Atalanta,31,28.4,,38,418,3420,38.0,43,32,75,41,2,3,90,0,1.13,0.84,1.97,1.08,1.92
2013-2014,Bologna,28,28.6,,38,418,3420,38.0,28,12,40,23,5,6,104,0,0.74,0.32,1.05,0.61,0.92
2013-2014,Cagliari,31,27.2,,38,418,3420,38.0,34,21,55,29,5,8,104,0,0.89,0.55,1.45,0.76,1.32
2013-2014,Catania,34,27.2,,38,418,3420,38.0,34,23,57,31,3,3,102,0,0.89,0.61,1.5,0.82,1.42
2013-2014,Chievo,36,28.9,,38,418,3420,38.0,33,24,57,27,6,7,107,0,0.87,0.63,1.5,0.71,1.34
2013-2014,Fiorentina,31,27.7,,38,418,3420,38.0,65,41,106,54,11,11,90,0,1.71,1.08,2.79,1.42,2.5
2013-2014,Genoa,31,27.2,,38,418,3420,38.0,39,23,62,34,5,9,100,0,1.03,0.61,1.63,0.89,1.5
2013-2014,Hellas Verona,29,28.4,,38,418,3420,38.0,60,38,98,52,8,8,71,0,1.58,1.0,2.58,1.37,2.37
2013-2014,Inter,28,27.6,,38,418,3420,38.0,59,48,107,59,0,1,73,0,1.55,1.26,2.82,1.55,2.82
2013-2014,Juventus,26,28.3,,38,418,3420,38.0,78,54,132,74,4,4,70,0,2.05,1.42,3.47,1.95,3.37
2013-2014,Lazio,30,28.0,,38,418,3420,38.0,51,30,81,44,7,8,90,0,1.34,0.79,2.13,1.16,1.95
2013-2014,Livorno,31,25.7,,38,418,3420,38.0,37,23,60,33,4,4,115,0,0.97,0.61,1.58,0.87,1.47
2013-2014,Milan,32,28.0,,38,418,3420,38.0,55,33,88,52,3,5,92,0,1.45,0.87,2.32,1.37,2.24
2013-2014,Napoli,30,27.1,,38,418,3420,38.0,76,51,127,69,7,9,79,0,2.0,1.34,3.34,1.82,3.16
2013-2014,Parma,30,29.5,,38,418,3420,38.0,56,38,94,53,3,6,103,0,1.47,1.0,2.47,1.39,2.39
2013-2014,Roma,29,27.5,,38,417,3420,38.0,70,51,121,64,6,6,87,0,1.84,1.34,3.18,1.68,3.03
2013-2014,Sampdoria,33,25.3,,38,418,3420,38.0,46,29,75,42,4,5,110,0,1.21,0.76,1.97,1.11,1.87
2013-2014,Sassuolo,38,26.5,,38,418,3420,38.0,43,25,68,36,7,8,101,0,1.13,0.66,1.79,0.95,1.61
2013-2014,Torino,26,27.1,,38,418,3420,38.0,57,35,92,52,5,8,94,0,1.5,0.92,2.42,1.37,2.29
2013-2014,Udinese,27,25.8,,38,418,3420,38.0,45,25,70,39,6,8,85,0,1.18,0.66,1.84,1.03,1.68
2014-2015,Atalanta,32,28.1,46.4,38,418,3420,38.0,37,21,58,33,4,5,113,0,0.97,0.55,1.53,0.87,1.42
2014-2015,Cagliari,29,25.7,48.2,38,418,3420,38.0,45,31,76,41,4,7,115,0,1.18,0.82,2.0,1.08,1.89
2014-2015,Cesena,33,27.3,44.4,38,418,3420,38.0,34,23,57,29,5,6,107,0,0.89,0.61,1.5,0.76,1.37
2014-2015,Chievo,27,29.1,44.8,38,418,3420,38.0,27,20,47,26,1,2,86,0,0.71,0.53,1.24,0.68,1.21
2014-2015,Empoli,26,25.1,49.4,38,418,3420,38.0,43,35,78,40,3,3,64,0,1.13,0.92,2.05,1.05,1.97
2014-2015,Fiorentina,30,27.9,55.9,38,418,3420,38.0,61,41,102,59,2,7,86,0,1.61,1.08,2.68,1.55,2.63
2014-2015,Genoa,33,26.0,50.9,38,418,3420,38.0,58,41,99,53,5,7,108,0,1.53,1.08,2.61,1.39,2.47
2014-2015,Hellas Verona,30,29.7,44.1,38,418,3420,38.0,48,35,83,44,4,6,105,0,1.26,0.92,2.18,1.16,2.08
2014-2015,Inter,34,26.5,56.6,38,418,3420,38.0,58,36,94,53,5,7,101,0,1.53,0.95,2.47,1.39,2.34
2014-2015,Juventus,28,28.8,56.2,38,418,3420,38.0,71,44,115,65,6,9,76,0,1.87,1.16,3.03,1.71,2.87
2014-2015,Lazio,29,28.0,52.2,38,418,3420,38.0,70,47,117,67,3,5,114,0,1.84,1.24,3.08,1.76,3.0
2014-2015,Milan,35,28.1,51.3,38,418,3420,38.0,54,33,87,43,11,11,96,0,1.42,0.87,2.29,1.13,2.0
2014-2015,Napoli,26,27.0,54.8,38,418,3420,38.0,65,41,106,61,4,9,86,0,1.71,1.08,2.79,1.61,2.68
2014-2015,Palermo,31,26.8,49.6,38,418,3420,38.0,52,34,86,47,5,7,89,0,1.37,0.89,2.26,1.24,2.13
2014-2015,Parma,38,28.4,44.9,38,418,3420,38.0,31,20,51,29,2,2,110,0,0.82,0.53,1.34,0.76,1.29
2014-2015,Roma,32,28.0,57.3,38,418,3420,38.0,53,40,93,47,6,7,111,0,1.39,1.05,2.45,1.24,2.29
2014-2015,Sampdoria,30,26.2,50.4,38,418,3420,38.0,46,30,76,44,2,2,103,0,1.21,0.79,2.0,1.16,1.95
2014-2015,Sassuolo,27,27.0,47.0,38,418,3420,38.0,47,30,77,40,7,9,115,0,1.24,0.79,2.03,1.05,1.84
2014-2015,Torino,31,28.1,49.2,38,418,3420,38.0,48,32,80,45,3,6,100,0,1.26,0.84,2.11,1.18,2.03
2014-2015,Udinese,28,26.9,46.5,38,418,3420,38.0,41,27,68,40,1,1,99,0,1.08,0.71,1.79,1.05,1.76
2015-2016,Atalanta,33,27.8,48.4,38,418,3420,38.0,38,23,61,34,4,6,114,0,1.0,0.61,1.61,0.89,1.5
2015-2016,Bologna,31,27.0,45.8,38,418,3420,38.0,33,22,55,31,2,3,98,0,0.87,0.58,1.45,0.82,1.39
2015-2016,Carpi,35,25.9,38.6,38,418,3420,38.0,33,22,55,28,5,8,115,0,0.87,0.58,1.45,0.74,1.32
2015-2016,Chievo,26,30.5,45.3,38,418,3420,38.0,42,28,70,37,5,8,108,0,1.11,0.74,1.84,0.97,1.71
