stagione,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2018-2019,Udinese,31,25.3,42.6,38,418,3420,38.0,37,30,67,34,3,8,92,4,42.5,36.0,27.9,63.9,713,1088,0.97,0.79,1.76,0.89,1.68,1.12,0.73,1.85,0.95,1.68
2019-2020,Atalanta,30,27.2,57.2,38,418,3420,38.0,96,68,164,89,7,10,80,2,83.5,75.6,58.9,134.5,978,1867,2.53,1.79,4.32,2.34,4.13,2.2,1.55,3.75,1.99,3.54
2019-2020,Bologna,31,27.2,52.6,38,418,3420,38.0,48,31,79,43,5,6,109,7,56.9,52.2,41.3,93.5,799,1672,1.26,0.82,2.08,1.13,1.95,1.5,1.09,2.58,1.37,2.46
2019-2020,Brescia,32,25.6,40.6,38,418,3420,38.0,34,22,56,30,4,4,95,6,43.4,40.2,28.8,69.0,537,1241,0.89,0.58,1.47,0.79,1.37,1.14,0.76,1.9,1.06,1.82
2019-2020,Cagliari,33,27.4,45.7,38,418,3420,38.0,50,34,84,46,4,6,108,6,41.8,37.1,32.0,69.0,662,1288,1.32,0.89,2.21,1.21,2.11,1.1,0.84,1.94,0.98,1.82
2019-2020,Fiorentina,33,25.1,47.4,38,418,3420,38.0,48,30,78,39,9,11,105,5,53.6,45.4,34.5,79.8,857,1446,1.26,0.79,2.05,1.03,1.82,1.41,0.91,2.32,1.19,2.1
2019-2020,Genoa,34,26.8,49.5,38,418,3420,38.0,46,28,74,35,11,16,107,10,48.7,36.2,27.6,63.7,583,1280,1.21,0.74,1.95,0.92,1.66,1.28,0.73,2.01,0.95,1.68
2019-2020,Hellas Verona,30,26.1,49.8,38,418,3420,38.0,45,27,72,37,8,9,87,7,50.5,43.6,34.5,78.1,728,1575,1.18,0.71,1.89,0.97,1.68,1.33,0.91,2.24,1.15,2.06
2019-2020,Inter,29,27.7,54.2,38,418,3420,38.0,80,57,137,70,10,11,104,6,69.4,60.8,44.0,104.7,797,1820,2.11,1.5,3.61,1.84,3.34,1.83,1.16,2.98,1.6,2.76
2019-2020,Juventus,30,28.6,58.1,38,418,3420,38.0,73,47,120,60,13,14,87,3,71.1,60.1,45.5,105.6,879,1746,1.92,1.24,3.16,1.58,2.82,1.87,1.2,3.07,1.58,2.78
2019-2020,Lazio,27,27.9,50.4,38,418,3420,38.0,77,45,122,62,15,18,99,2,68.0,53.9,42.5,96.4,935,1668,2.03,1.18,3.21,1.63,2.82,1.79,1.12,2.91,1.42,2.54
2019-2020,Lecce,30,28.7,44.8,38,418,3420,38.0,52,30,82,41,11,15,98,5,54.7,43.5,32.6,76.1,752,1356,1.37,0.79,2.16,1.08,1.87,1.44,0.86,2.3,1.15,2.0
2019-2020,Milan,32,24.6,54.9,38,418,3420,38.0,60,38,98,52,8,9,97,6,62.8,56.0,46.0,101.9,816,1717,1.58,1.0,2.58,1.37,2.37,1.65,1.21,2.86,1.47,2.68
2019-2020,Napoli,25,26.9,59.2,38,418,3420,38.0,60,45,105,55,5,5,73,2,61.7,57.8,46.8,104.6,979,2024,1.58,1.18,2.76,1.45,2.63,1.62,1.23,2.85,1.52,2.75
2019-2020,Parma,25,28.8,43.8,38,418,3420,38.0,53,38,91,49,4,6,81,1,48.4,43.7,33.9,77.6,673,1227,1.39,1.0,2.39,1.29,2.29,1.27,0.89,2.17,1.15,2.04
2019-2020,Roma,31,26.9,52.7,38,418,3420,38.0,73,47,120,61,12,14,111,7,73.2,62.8,48.6,111.3,944,1651,1.92,1.24,3.16,1.61,2.84,1.93,1.28,3.21,1.65,2.93
2019-2020,Sampdoria,31,26.0,42.7,38,418,3420,38.0,48,25,73,39,9,12,111,7,50.2,40.8,30.8,71.6,613,1369,1.26,0.66,1.92,1.03,1.68,1.32,0.81,2.13,1.07,1.89
2019-2020,Sassuolo,31,26.4,57.5,38,418,3420,38.0,69,49,118,64,5,6,99,3,52.9,48.2,39.2,87.4,902,1590,1.82,1.29,3.11,1.68,2.97,1.39,1.03,2.42,1.27,2.3
2019-2020,SPAL,34,27.5,46.9,38,418,3420,38.0,27,17,44,22,5,7,98,4,40.7,35.2,26.5,61.7,696,1236,0.71,0.45,1.16,0.58,1.03,1.07,0.7,1.77,0.93,1.62
2019-2020,Torino,27,27.3,47.4,38,418,3420,38.0,44,29,73,37,7,8,96,7,44.8,39.4,30.3,69.6,843,1220,1.16,0.76,1.92,0.97,1.74,1.18,0.8,1.98,1.04,1.83
2019-2020,Udinese,25,26.5,44.7,38,418,3420,38.0,37,26,63,37,0,0,77,3,41.6,41.6,33.5,75.2,709,1274,0.97,0.68,1.66,0.97,1.66,1.1,0.88,1.98,1.1,1.98
2020-2021,Atalanta,30,27.3,54.6,38,418,3420,38.0,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28
2020-2021,Benevento,29,28.7,42.6,38,418,3420,38.0,40,26,66,35,5,7,95,5,40.6,35.0,27.6,62.6,512,1096,1.05,0.68,1.74,0.92,1.61,1.07,0.73,1.79,0.92,1.65
2020-2021,Bologna,37,27.2,50.8,38,418,3420,38.0,49,38,87,46,3,4,82,4,54.6,51.1,39.0,90.1,707,1516,1.29,1.0,2.29,1.21,2.21,1.44,1.03,2.47,1.34,2.37
2020-2021,Cagliari,32,26.5,44.8,38,418,3420,38.0,43,30,73,39,4,5,77,3,47.1,43.4,34.0,77.5,589,1228,1.13,0.79,1.92,1.03,1.82,1.24,0.9,2.14,1.14,2.04
2020-2021,Crotone,31,27.8,46.3,38,418,3420,38.0,44,27,71,35,9,9,89,4,40.4,33.4,23.9,57.2,582,1217,1.16,0.71,1.87,0.92,1.63,1.06,0.63,1.69,0.88,1.51
2020-2021,Fiorentina,30,26.6,46.3,38,418,3420,38.0,44,31,75,38,6,6,86,5,44.9,40.2,31.6,71.8,637,1353,1.16,0.82,1.97,1.0,1.82,1.18,0.83,2.01,1.06,1.89
2020-2021,Genoa,34,28.3,44.8,38,418,3420,38.0,46,32,78,42,4,4,87,2,38.8,35.6,26.4,62.1,523,1165,1.21,0.84,2.05,1.11,1.95,1.02,0.7,1.72,0.94,1.63
2020-2021,Hellas Verona,32,26.2,49.8,38,418,3420,38.0,38,30,68,35,3,3,91,1,45.3,43.0,33.5,76.5,599,1490,1.0,0.79,1.79,0.92,1.71,1.19,0.88,2.08,1.13,2.01
2020-2021,Inter,25,27.7,52.5,38,418,3420,38.0,84,62,146,76,8,9,61,2,74.2,67.2,52.5,119.8,766,1707,2.21,1.63,3.84,2.0,3.63,1.95,1.38,3.34,1.77,3.15
2020-2021,Juventus,30,27.7,56.9,38,418,3420,38.0,76,59,135,68,8,10,80,6,74.4,67.0,55.1,122.1,949,1768,2.0,1.55,3.55,1.79,3.34,1.96,1.45,3.41,1.76,3.21
2020-2021,Lazio,30,29.4,53.0,38,418,3420,38.0,59,40,99,53,6,10,107,5,58.2,50.7,39.6,90.2,785,1688,1.55,1.05,2.61,1.39,2.45,1.53,1.04,2.57,1.33,2.37
2020-2021,Milan,29,24.4,51.7,38,418,3420,38.0,72,47,119,57,15,20,83,4,70.7,56.0,43.9,99.8,784,1483,1.89,1.24,3.13,1.5,2.74,1.86,1.15,3.02,1.47,2.63
2020-2021,Napoli,25,27.1,55.1,38,418,3420,38.0,83,56,139,76,7,8,76,3,67.7,61.4,46.9,108.3,884,1703,2.18,1.47,3.66,2.0,3.47,1.78,1.23,3.02,1.62,2.85
2020-2021,Parma,42,28.0,47.8,38,418,3420,38.0,39,26,65,34,5,5,91,1,42.5,38.6,30.5,69.0,607,1319,1.03,0.68,1.71,0.89,1.58,1.12,0.8,1.92,1.01,1.82
2020-2021,Roma,31,26.7,52.2,38,418,3420,38.0,67,51,118,60,7,8,91,3,65.3,59.0,48.2,107.2,863,1583,1.76,1.34,3.11,1.58,2.92,1.72,1.27,2.98,1.55,2.82
2020-2021,Sampdoria,27,27.9,45.2,38,418,3420,38.0,52,37,89,47,5,6,83,3,45.4,41.1,31.9,73.0,588,1370,1.37,0.97,2.34,1.24,2.21,1.2,0.84,2.04,1.08,1.92
2020-2021,Sassuolo,28,26.5,60.3,38,418,3420,38.0,61,36,97,48,13,14,79,4,58.4,47.7,34.0,81.8,770,1746,1.61,0.95,2.55,1.26,2.21,1.54,0.9,2.43,1.26,2.15
2020-2021,Spezia,35,25.2,51.9,38,418,3420,38.0,52,37,89,48,4,5,100,5,46.5,42.6,31.1,73.7,625,1388,1.37,0.97,2.34,1.26,2.24,1.22,0.82,2.04,1.12,1.94
2020-2021,Torino,29,26.9,47.3,38,418,3420,38.0,49,28,77,44,5,6,78,4,50.0,45.3,32.2,77.5,617,1138,1.29,0.74,2.03,1.16,1.89,1.32,0.85,2.16,1.19,2.04
2020-2021,Udinese,33,27.2,46.3,38,418,3420,38.0,40,30,70,36,4,4,65,2,45.7,42.9,30.0,72.9,672,1405,1.05,0.79,1.84,0.95,1.74,1.2,0.79,1.99,1.13,1.92
2021-2022,Atalanta,32,27.5,55.0,38,418,3420,38.0,62,48,110,57,5,6,87,2,62.4,58.1,48.5,106.6,796,1858,1.63,1.26,2.89,1.5,2.76,1.64,1.28,2.92,1.53,2.81
2021-2022,Bologna,36,26.6,50.6,38,418,3420,38.0,43,34,77,39,4,5,92,7,44.9,41.0,33.6,74.6,540,1276,1.13,0.89,2.03,1.03,1.92,1.18,0.88,2.06,1.08,1.96
2021-2022,Cagliari,33,26.5,44.5,38,418,3420,38.0,34,26,60,31,3,4,96,5,39.0,36.4,29.6,66.0,474,1088,0.89,0.68,1.58,0.82,1.5,1.03,0.78,1.81,0.96,1.74
2021-2022,Empoli,28,24.5,47.4,38,418,3420,38.0,47,27,74,40,7,7,87,5,44.9,39.3,28.9,68.3,658,1477,1.24,0.71,1.95,1.05,1.76,1.18,0.76,1.94,1.04,1.8
2021-2022,Fiorentina,28,26.4,57.7,38,418,3420,38.0,59,33,92,50,9,12,89,8,60.0,50.8,39.2,90.1,755,1584,1.55,0.87,2.42,1.32,2.18,1.58,1.03,2.61,1.34,2.37
2021-2022,Genoa,40,27.0,43.9,38,418,3420,38.0,26,19,45,20,6,7,92,3,37.2,31.8,26.3,58.1,517,1101,0.68,0.5,1.18,0.53,1.03,0.98,0.69,1.67,0.84,1.53
2021-2022,Hellas Verona,31,26.8,50.6,38,418,3420,38.0,63,44,107,56,7,8,100,7,50.4,44.2,34.1,78.4,677,1587,1.66,1.16,2.82,1.47,2.63,1.33,0.9,2.23,1.16,2.06
2021-2022,Inter,27,28.9,56.5,38,418,3420,38.0,83,57,140,76,7,11,71,0,81.6,73.6,57.3,130.9,782,1778,2.18,1.5,3.68,2.0,3.5,2.15,1.51,3.66,1.94,3.45
2021-2022,Juventus,32,27.4,51.5,38,418,3420,38.0,56,37,93,51,5,6,77,2,51.4,46.7,36.3,83.0,701,1464,1.47,0.97,2.45,1.34,2.32,1.35,0.96,2.31,1.23,2.18
2021-2022,Lazio,27,29.0,55.4,38,418,3420,38.0,74,48,122,67,7,9,88,5,55.3,48.2,38.8,87.0,788,1527,1.95,1.26,3.21,1.76,3.03,1.46,1.02,2.48,1.27,2.29
2021-2022,Milan,28,25.6,54.0,38,418,3420,38.0,66,39,105,61,5,8,76,3,59.7,54.1,42.8,96.9,806,1486,1.74,1.03,2.76,1.61,2.63,1.57,1.13,2.7,1.42,2.55
2021-2022,Napoli,27,27.9,58.3,38,418,3420,38.0,74,46,120,64,10,14,63,2,57.8,46.6,37.1,83.7,827,1665,1.95,1.21,3.16,1.68,2.89,1.52,0.98,2.5,1.23,2.2
2021-2022,Roma,29,26.4,51.4,38,418,3420,38.0,58,31,89,51,7,9,111,8,65.1,58.1,46.3,104.4,733,1587,1.53,0.82,2.34,1.34,2.16,1.71,1.22,2.93,1.53,2.75
2021-2022,Salernitana,42,27.7,41.2,38,418,3420,38.0,32,19,51,28,4,5,94,5,36.5,32.9,24.8,57.7,528,1031,0.84,0.5,1.34,0.74,1.24,0.96,0.65,1.61,0.87,1.52
2021-2022,Sampdoria,34,29.0,46.1,38,418,3420,38.0,42,29,71,40,2,4,94,4,36.7,33.4,26.2,59.6,467,1187,1.11,0.76,1.87,1.05,1.82,0.97,0.69,1.66,0.88,1.57
2021-2022,Sassuolo,29,26.1,54.9,38,418,3420,38.0,60,39,99,53,7,7,92,4,55.7,50.2,39.0,89.2,815,1507,1.58,1.03,2.61,1.39,2.42,1.46,1.03,2.49,1.32,2.35
2021-2022,Spezia,30,24.4,42.7,38,418,3420,38.0,38,25,63,35,3,5,88,4,40.1,36.2,27.9,64.1,511,999,1.0,0.66,1.66,0.92,1.58,1.05,0.73,1.79,0.95,1.69
2021-2022,Torino,31,25.2,53.3,38,418,3420,38.0,43,27,70,37,6,6,89,3,48.7,44.1,36.3,80.4,628,1320,1.13,0.71,1.84,0.97,1.68,1.28,0.96,2.24,1.16,2.12
2021-2022,Udinese,29,26.2,42.7,38,418,3420,38.0,58,36,94,55,3,4,95,6,51.3,48.2,36.6,84.8,669,1226,1.53,0.95,2.47,1.45,2.39,1.35,0.96,2.31,1.27,2.23
2021-2022,Venezia,39,26.1,42.3,38,418,3420,38.0,34,23,57,31,3,5,110,9,36.5,32.4,26.4,58.8,540,1088,0.89,0.61,1.5,0.82,1.42,0.96,0.69,1.66,0.85,1.55
2022-2023,Atalanta,27,26.5,49.9,38,418,3420,38.0,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,1.68,1.11,2.79,1.53,2.63,1.52,1.12,2.64,1.35,2.47
2022-2023,Bologna,27,26.6,54.7,38,418,3420,38.0,52,41,93,46,6,6,84,3,43.8,39.4,31.5,70.9,564,1366,1.37,1.08,2.45,1.21,2.29,1.15,0.83,1.98,1.04,1.87
2022-2023,Cremonese,33,26.0,42.1,38,418,3420,38.0,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107,0.92,0.47,1.39,0.79,1.26,1.02,0.64,1.66,0.87,1.51
2022-2023,Empoli,32,25.3,47.3,38,418,3420,38.0,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64.0,608,1114,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69
2022-2023,Fiorentina,30,26.5,56.1,38,418,3420,38.0,51,37,88,47,4,6,93,3,55.0,50.8,40.2,91.0,789,1627,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39
2022-2023,Hellas Verona,36,26.6,41.2,38,418,3420,38.0,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66
2022-2023,Inter,25,28.8,55.7,38,418,3420,38.0,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624,1.79,1.32,3.11,1.68,3.0,1.79,1.36,3.15,1.7,3.06
2022-2023,Juventus,29,27.7,49.6,38,418,3420,38.0,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.5,1.33,2.37
2022-2023,Lazio,24,28.6,52.1,38,418,3420,38.0,59,37,96,53,6,8,87,2,51.1,44.9,34.3,79.2,683,1381,1.55,0.97,2.53,1.39,2.37,1.35,0.9,2.25,1.18,2.08
2022-2023,Lecce,29,24.8,41.3,38,418,3420,38.0,31,21,52,27,4,6,86,2,36.3,31.6,25.3,56.9,514,1232,0.82,0.55,1.37,0.71,1.26,0.95,0.67,1.62,0.83,1.5
2022-2023,Milan,30,26.0,55.6,38,418,3420,38.0,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584,1.61,1.29,2.89,1.47,2.76,1.55,1.21,2.76,1.45,2.66
2022-2023,Monza,31,26.6,55.2,38,418,3420,38.0,46,31,77,41,5,6,90,4,45.9,41.2,33.8,75.0,708,1362,1.21,0.82,2.03,1.08,1.89,1.21,0.89,2.1,1.08,1.97
2022-2023,Napoli,27,26.4,61.8,38,418,3420,38.0,75,57,132,67,8,10,47,1,64.7,56.8,46.8,103.6,907,1804,1.97,1.5,3.47,1.76,3.26,1.7,1.23,2.94,1.5,2.73
2022-2023,Roma,30,27.4,48.6,38,418,3420,38.0,50,33,83,43,7,10,83,4,57.7,50.2,39.1,89.3,684,1217,1.32,0.87,2.18,1.13,2.0,1.52,1.03,2.55,1.32,2.35
2022-2023,Salernitana,30,27.2,44.9,38,418,3420,38.0,46,34,80,44,2,2,85,4,36.7,35.2,26.9,62.0,519,1089,1.21,0.89,2.11,1.16,2.05,0.96,0.71,1.67,0.93,1.63
2022-2023,Sampdoria,40,27.9,46.1,38,418,3420,38.0,23,18,41,22,1,2,108,3,34.1,32.5,24.4,56.9,466,1126,0.61,0.47,1.08,0.58,1.05,0.9,0.64,1.54,0.85,1.5
2022-2023,Sassuolo,31,26.1,49.2,38,418,3420,38.0,46,30,76,37,9,10,90,6,51.6,43.9,36.1,80.0,761,1565,1.21,0.79,2.0,0.97,1.76,1.36,0.95,2.31,1.16,2.11
2022-2023,Spezia,34,25.7,47.4,38,418,3420,38.0,29,18,47,25,4,4,103,6,41.5,38.5,29.3,67.8,553,1163,0.76,0.47,1.24,0.66,1.13,1.09,0.77,1.86,1.01,1.78
2022-2023,Torino,28,25.2,53.2,38,418,3420,38.0,41,34,75,39,2,2,81,0,41.8,40.2,35.0,75.2,684,1328,1.08,0.89,1.97,1.03,1.92,1.1,0.92,2.02,1.06,1.98
2022-2023,Udinese,30,26.1,48.0,38,418,3420,38.0,46,41,87,45,1,2,88,3,46.9,45.4,37.8,83.2,646,1354,1.21,1.08,2.29,1.18,2.26,1.24,0.99,2.23,1.2,2.19
2023-2024,Atalanta,29,26.3,51.0,38,418,3420,38.0,72,57,129,67,5,5,76,1,57.8,53.9,43.9,97.8,715,1754,1.89,1.5,3.39,1.76,3.26,1.52,1.16,2.68,1.42,2.57
2023-2024,Bologna,28,25.2,58.1,38,418,3420,38.0,52,32,84,48,4,5,85,2,47.9,44.0,32.1,76.1,660,1453,1.37,0.84,2.21,1.26,2.11,1.26,0.84,2.11,1.16,2.0
2023-2024,Cagliari,29,26.1,42.1,38,418,3420,38.0,41,30,71,37,4,6,77,4,42.9,38.4,29.1,67.5,529,1109,1.08,0.79,1.87,0.97,1.76,1.13,0.77,1.9,1.01,1.78
2023-2024,Empoli,34,26.0,44.0,38,418,3420,38.0,26,19,45,21,5,5,88,1,36.2,32.4,25.8,58.3,524,1056,0.68,0.5,1.18,0.55,1.05,0.95,0.68,1.63,0.85,1.53
2023-2024,Fiorentina,30,27.0,57.4,38,418,3420,38.0,60,41,101,56,4,8,80,0,51.7,45.4,35.3,80.7,621,1656,1.58,1.08,2.66,1.47,2.55,1.36,0.93,2.29,1.19,2.12
2023-2024,Frosinone,34,24.3,49.7,38,418,3420,38.0,44,29,73,36,8,10,68,2,45.8,37.9,30.2,68.1,563,1326,1.16,0.76,1.92,0.95,1.71,1.2,0.79,2.0,1.0,1.79
2023-2024,Genoa,34,26.7,44.1,38,418,3420,38.0,43,27,70,38,5,6,79,3,35.7,31.0,22.8,53.8,468,1079,1.13,0.71,1.84,1.0,1.71,0.94,0.6,1.54,0.82,1.42
2023-2024,Hellas Verona,36,25.7,44.4,38,418,3420,38.0,38,29,67,35,3,7,88,6,38.0,32.4,27.2,59.6,539,1122,1.0,0.76,1.76,0.92,1.68,1.0,0.72,1.72,0.85,1.57
2023-2024,Inter,27,29.1,57.1,38,418,3420,38.0,87,60,147,74,13,14,46,1,78.2,67.4,55.6,123.0,720,1620,2.29,1.58,3.87,1.95,3.53,2.06,1.46,3.52,1.77,3.24
2023-2024,Juventus,31,26.5,48.5,38,418,3420,38.0,52,37,89,49,3,5,87,2,54.6,50.6,39.6,90.2,709,1473,1.37,0.97,2.34,1.29,2.26,1.44,1.04,2.48,1.33,2.37
2023-2024,Lazio,22,28.2,53.3,38,418,3420,38.0,46,30,76,42,4,4,101,5,46.5,43.4,32.9,76.4,716,1528,1.21,0.79,2.0,1.11,1.89,1.22,0.87,2.09,1.14,2.01
2023-2024,Lecce,26,24.9,44.9,38,418,3420,38.0,30,23,53,27,3,5,89,5,43.1,39.2,30.6,69.9,638,1183,0.79,0.61,1.39,0.71,1.32,1.14,0.81,1.94,1.03,1.84
2023-2024,Milan,35,26.6,56.9,38,418,3420,38.0,76,56,132,70,6,8,82,8,66.2,60.0,46.0,106.0,899,1569,2.0,1.47,3.47,1.84,3.32,1.74,1.21,2.95,1.58,2.79
2023-2024,Monza,31,26.8,53.5,38,418,3420,38.0,38,29,67,34,4,5,88,5,39.5,35.9,27.8,63.8,723,1248,1.0,0.76,1.76,0.89,1.66,1.04,0.73,1.77,0.95,1.68
2023-2024,Napoli,29,27.2,60.9,38,418,3420,38.0,54,36,90,48,6,10,77,5,61.4,53.3,42.9,96.2,802,1758,1.42,0.95,2.37,1.26,2.21,1.62,1.13,2.74,1.4,2.53
2023-2024,Roma,30,27.7,54.9,38,418,3420,38.0,64,44,108,53,11,12,95,3,51.4,42.3,34.4,76.7,682,1469,1.68,1.16,2.84,1.39,2.55,1.35,0.91,2.26,1.11,2.02
2023-2024,Salernitana,39,27.2,44.5,38,418,3420,38.0,32,25,57,30,2,2,91,3,30.3,28.7,22.4,51.1,499,1119,0.84,0.66,1.5,0.79,1.45,0.8,0.59,1.39,0.76,1.34
2023-2024,Sassuolo,30,26.4,43.8,38,418,3420,38.0,42,28,70,35,7,8,71,4,39.8,33.8,25.9,59.7,636,1301,1.11,0.74,1.84,0.92,1.66,1.05,0.68,1.73,0.89,1.57
2023-2024,Torino,30,26.4,51.6,38,418,3420,38.0,35,29,64,33,2,2,75,2,37.7,36.1,30.1,66.2,710,1333,0.92,0.76,1.68,0.87,1.63,0.99,0.79,1.78,0.95,1.74
2023-2024,Udinese,32,25.7,39.3,38,418,3420,38.0,36,23,59,33,3,4,94,5,39.1,36.8,28.0,64.9,602,1022,0.95,0.61,1.55,0.87,1.47,1.03,0.74,1.77,0.97,1.71
2024-2025,Atalanta,32,27.1,55.3,38,418,3420,38.0,76,54,130,71,5,7,67,1,65.0,59.5,46.9,106.4,897,1824,2.0,1.42,3.42,1.87,3.29,1.71,1.23,2.94,1.57,2.8
2024-2025,Bologna,30,26.4,58.1,38,418,3420,38.0,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79.0,639,1468,1.47,1.13,2.61,1.32,2.45,1.3,0.93,2.22,1.15,2.08
2024-2025,Cagliari,28,26.6,44.9,38,418,3420,38.0,38,31,69,35,3,3,68,3,42.7,40.3,32.0,72.4,506,1150,1.0,0.82,1.82,0.92,1.74,1.12,0.84,1.97,1.06,1.9
2024-2025,Como,38,26.3,54.6,38,418,3420,38.0,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377,1.16,1.03,2.18,1.16,2.18,1.2,0.96,2.16,1.16,2.12
2024-2025,Empoli,34,25.4,41.7,38,418,3420,38.0,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013,0.82,0.55,1.37,0.76,1.32,0.86,0.6,1.46,0.79,1.4
2024-2025,Fiorentina,34,26.3,51.0,38,418,3420,38.0,58,39,97,52,6,8,82,3,48.9,42.6,35.1,77.7,620,1240,1.53,1.03,2.55,1.37,2.39,1.29,0.92,2.21,1.12,2.04
2024-2025,Genoa,37,26.2,45.6,38,418,3420,38.0,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,0.92,0.71,1.63,0.92,1.63,0.98,0.71,1.68,0.93,1.64
2024-2025,Hellas Verona,32,25.1,38.7,38,418,3420,38.0,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,0.82,0.53,1.34,0.76,1.29,0.89,0.65,1.54,0.85,1.5
2024-2025,Inter,26,29.4,59.4,38,418,3420,38.0,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,2.0,1.5,3.5,1.79,3.29,1.76,1.27,3.03,1.58,2.85
2024-2025,Juventus,29,24.6,57.2,38,418,3420,38.0,56,40,96,50,6,6,67,3,51.0,46.3,35.9,82.2,810,1561,1.47,1.05,2.53,1.32,2.37,1.34,0.94,2.29,1.22,2.16
2024-2025,Lazio,27,27.1,55.1,38,418,3420,38.0,60,43,103,54,6,7,93,7,57.2,52.0,38.5,90.4,774,1588,1.58,1.13,2.71,1.42,2.55,1.51,1.01,2.52,1.37,2.38
2024-2025,Lecce,31,26.1,43.8,38,418,3420,38.0,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071,0.71,0.55,1.26,0.63,1.18,0.91,0.65,1.56,0.84,1.48
2024-2025,Milan,35,25.6,53.9,38,418,3420,38.0,59,43,102,55,4,8,70,6,63.7,57.5,46.8,104.4,915,1589,1.55,1.13,2.68,1.45,2.58,1.68,1.23,2.91,1.51,2.75
2024-2025,Monza,36,26.8,48.5,38,418,3420,38.0,27,18,45,24,3,3,90,3,29.9,27.7,20.9,48.6,533,1096,0.71,0.47,1.18,0.63,1.11,0.79,0.55,1.34,0.73,1.28
2024-2025,Napoli,27,28.6,54.6,38,418,3420,38.0,56,42,98,52,4,5,47,0,52.9,49.1,39.1,88.2,739,1546,1.47,1.11,2.58,1.37,2.47,1.39,1.03,2.42,1.29,2.32
2024-2025,Parma,32,23.8,44.2,38,418,3420,38.0,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,1.13,0.82,1.95,0.97,1.79,1.13,0.77,1.9,0.99,1.76
2024-2025,Roma,28,26.5,53.9,38,418,3420,38.0,55,35,90,47,8,8,66,1,53.0,46.7,35.0,81.7,691,1501,1.45,0.92,2.37,1.24,2.16,1.39,0.92,2.32,1.23,2.15
2024-2025,Torino,31,26.7,47.5,38,418,3420,38.0,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54.0,529,1113,0.95,0.55,1.5,0.89,1.45,0.91,0.59,1.5,0.83,1.42
2024-2025,Udinese,31,26.4,47.2,38,418,3420,38.0,41,28,69,39,2,4,88,5,38.2,35.0,27.2,62.1,566,1160,1.08,0.74,1.82,1.03,1.76,1.01,0.71,1.72,0.92,1.64
2024-2025,Venezia,36,25.4,45.1,38,418,3420,38.0,31,16,47,27,4,5,75,2,35.8,32.0,22.2,54.2,507,1066,0.82,0.42,1.24,0.71,1.13,0.94,0.58,1.53,0.84,1.43
