Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Atalanta,33,38.0,38,,135,,,3.55,,0.25,,4,6
Bologna,31,38.0,33,,110,,,2.89,,0.28,,2,3
Carpi,35,38.0,33,,126,,,3.32,,0.22,,5,8
Chievo,26,38.0,42,,130,,,3.42,,0.28,,5,8
Empoli,29,38.0,39,,147,,,3.87,,0.26,,1,2
Fiorentina,26,38.0,58,,178,,,4.68,,0.28,,8,9
Frosinone,28,38.0,34,,127,,,3.34,,0.24,,3,3
Genoa,30,38.0,44,,150,,,3.95,,0.27,,4,4
Hellas Verona,32,38.0,34,,140,,,3.68,,0.2,,6,7
Inter,28,38.0,49,,170,,,4.47,,0.28,,2,3
Juventus,28,38.0,72,,213,,,5.61,,0.3,,9,9
Lazio,27,38.0,52,,150,,,3.95,,0.29,,9,11
Milan,30,38.0,49,,165,,,4.34,,0.26,,6,7
Napoli,22,38.0,78,,244,,,6.42,,0.29,,7,8
Palermo,31,38.0,37,,134,,,3.53,,0.27,,1,1
Roma,32,38.0,83,,220,,,5.79,,0.36,,4,4
Sampdoria,35,38.0,45,,150,,,3.95,,0.28,,3,3
Sassuolo,26,38.0,48,,166,,,4.37,,0.27,,4,5
Torino,27,38.0,49,,173,,,4.55,,0.23,,9,11
Udinese,28,38.0,34,,147,,,3.87,,0.22,,2,2
