Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,35,27.7,,38,418,3420,38.0,38,25,63,33,5,5,126,12,1.0,0.66,1.66,0.87,1.53
Bologna,31,26.8,,38,418,3420,38.0,45,28,73,41,4,5,106,3,1.18,0.74,1.92,1.08,1.82
Cagliari,25,26.1,,38,408,3420,38.0,41,27,68,34,7,9,109,9,1.08,0.71,1.79,0.89,1.61
Catania,29,27.9,,38,418,3420,38.0,50,38,88,49,1,2,95,7,1.32,1.0,2.32,1.29,2.29
Chievo,35,28.6,,38,417,3420,38.0,37,24,61,32,5,6,105,4,0.97,0.63,1.61,0.84,1.47
Fiorentina,30,26.8,,38,418,3420,38.0,70,56,126,63,7,10,93,3,1.84,1.47,3.32,1.66,3.13
Genoa,37,27.7,,38,418,3420,38.0,38,31,69,36,2,4,105,4,1.0,0.82,1.82,0.95,1.76
Inter,36,28.2,,38,418,3420,38.0,52,42,94,48,4,5,87,4,1.37,1.11,2.47,1.26,2.37
Juventus,28,27.8,,38,418,3420,38.0,71,49,120,63,8,11,77,1,1.87,1.29,3.16,1.66,2.95
Lazio,28,29.1,,38,418,3420,38.0,48,30,78,41,7,9,91,8,1.26,0.79,2.05,1.08,1.87
Milan,29,26.9,,38,418,3420,38.0,64,36,100,54,10,11,99,7,1.68,0.95,2.63,1.42,2.37
Napoli,27,28.5,,38,418,3420,38.0,72,55,127,65,7,10,90,0,1.89,1.45,3.34,1.71,3.16
Palermo,36,26.9,,38,418,3420,38.0,34,26,60,32,2,2,98,8,0.89,0.68,1.58,0.84,1.53
Parma,33,28.1,,38,418,3420,38.0,44,29,73,41,3,5,109,3,1.16,0.76,1.92,1.08,1.84
Pescara,39,25.8,,38,418,3420,38.0,27,15,42,25,2,3,103,9,0.71,0.39,1.11,0.66,1.05
Roma,24,26.0,,38,407,3420,38.0,68,43,111,63,5,7,91,8,1.79,1.13,2.92,1.66,2.79
Sampdoria,29,25.0,,38,418,3420,38.0,41,29,70,35,6,7,93,9,1.08,0.76,1.84,0.92,1.68
Siena,37,28.9,,38,418,3420,38.0,35,28,63,31,4,7,108,6,0.92,0.74,1.66,0.82,1.55
Torino,29,27.7,,38,418,3420,38.0,45,32,77,40,5,6,86,5,1.18,0.84,2.03,1.05,1.89
Udinese,30,26.3,,38,418,3420,38.0,59,37,96,55,4,6,90,6,1.55,0.97,2.53,1.45,2.42
