Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Atalanta,35,38.0,38,,148,,,3.89,,0.22,,5,5
Bologna,31,38.0,45,,165,,,4.34,,0.25,,4,5
Cagliari,25,38.0,41,,157,,,4.13,,0.22,,7,9
Catania,29,38.0,50,,155,,,4.08,,0.32,,1,2
Chievo,35,38.0,37,,121,,,3.18,,0.26,,5,6
Fiorentina,30,38.0,70,,220,,,5.79,,0.29,,7,10
Genoa,37,38.0,38,,160,,,4.21,,0.23,,2,4
Inter,36,38.0,52,,196,,,5.16,,0.24,,4,5
Juventus,28,38.0,71,,265,,,6.97,,0.24,,8,11
Lazio,28,38.0,48,,186,,,4.89,,0.22,,7,9
Milan,29,38.0,64,,241,,,6.34,,0.22,,10,11
Napoli,27,38.0,72,,235,,,6.18,,0.28,,7,10
Palermo,36,38.0,34,,178,,,4.68,,0.18,,2,2
Parma,33,38.0,44,,194,,,5.11,,0.21,,3,5
Pescara,39,38.0,27,,124,,,3.26,,0.2,,2,3
Roma,24,38.0,68,,229,,,6.03,,0.28,,5,7
Sampdoria,29,38.0,41,,148,,,3.89,,0.24,,6,7
Siena,37,38.0,35,,119,,,3.13,,0.26,,4,7
Torino,29,38.0,45,,153,,,4.03,,0.26,,5,6
Udinese,30,38.0,59,,176,,,4.63,,0.31,,4,6
