1,Juventus,19,16,2,1,37,6,31,50,2.63,19,13,2,4,38,14,24,41,2.16
2,Napoli,19,16,3,0,49,12,37,51,2.68,19,9,4,6,31,20,11,31,1.63
3,Roma,19,13,5,1,44,17,27,44,2.32,19,10,6,3,39,24,15,36,1.89
4,Inter,19,13,2,4,29,15,14,41,2.16,19,7,5,7,21,23,-2,26,1.37
5,Fiorentina,19,11,5,3,34,16,18,38,2.0,19,7,5,7,26,26,0,26,1.37
6,Sassuolo,19,8,8,3,25,20,5,32,1.68,19,8,5,6,24,20,4,29,1.53
7,Milan,19,9,6,4,28,22,6,33,1.74,19,6,6,7,21,21,0,24,1.26
8,Lazio,19,10,3,6,32,23,9,33,1.74,19,5,6,8,20,29,-9,21,1.11
9,Chievo,19,7,8,4,25,18,7,29,1.53,19,6,3,10,18,27,-9,21,1.11
10,Empoli,19,7,6,6,22,20,2,27,1.42,19,5,4,10,18,29,-11,19,1.0
11,Genoa,19,10,3,6,29,19,10,33,1.74,19,3,4,12,16,29,-13,13,0.68
12,Torino,19,6,6,7,25,25,0,24,1.26,19,6,3,10,27,30,-3,21,1.11
13,Atalanta,19,8,6,5,27,21,6,30,1.58,19,3,6,10,14,26,-12,15,0.79
14,Bologna,19,5,5,9,20,21,-1,20,1.05,19,6,4,9,13,24,-11,22,1.16
15,Sampdoria,19,8,4,7,29,25,4,28,1.47,19,2,6,11,19,36,-17,12,0.63
16,Palermo,19,6,4,9,24,30,-6,22,1.16,19,4,5,10,14,35,-21,17,0.89
17,Udinese,19,6,4,9,18,28,-10,22,1.16,19,4,5,10,17,32,-15,17,0.89
18,Carpi,19,6,5,8,23,26,-3,23,1.21,19,3,6,10,14,31,-17,15,0.79
19,Frosinone,19,6,4,9,18,26,-8,22,1.16,19,2,3,14,17,50,-33,9,0.47
20,Hellas Verona,19,4,6,9,21,30,-9,18,0.95,19,1,7,11,13,33,-20,10,0.53
