Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,B365H,B365D,B365A,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Bb1X2,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,imp_H,imp_D,imp_A,imp_over2_5,imp_under2_5,spread_max_avg_H,bookies_count,market_raw_sum,market_vig,imp_B365_H,imp_B365_D,imp_B365_A,imp_imp_diff_H,imp_imp_diff_D,imp_imp_diff_A,odds_spread_H,odds_spread_D,odds_spread_A,has_bookies_1x2
I1,2017-09-10,,Verona,Fiorentina,0,5,A,14,20,2,10,12,11,8,6,2,1,0,0,I8.csv,3.4,3.3,2.2,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.2796610169491525,0.288135593220339,0.43220338983050843,,,,,,,True
I1,2017-09-10,,Udinese,Genoa,1,0,H,14,12,5,2,12,17,1,8,4,0,1,1,I8.csv,2.38,3.2,3.2,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.40201005025125625,0.2989949748743718,0.2989949748743718,,,,,,,True
I1,2017-09-10,,Lazio,Milan,4,1,H,12,18,7,6,14,12,3,5,1,1,0,0,I8.csv,2.45,3.4,2.9,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.3898003558015417,0.2808855505040522,0.329314093694406,,,,,,,True
I1,2017-09-10,,Inter,Spal,2,0,H,19,9,7,1,14,13,8,5,2,2,0,0,I8.csv,1.25,6.0,13.0,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.7665847665847666,0.1597051597051597,0.07371007371007371,,,,,,,True
I1,2017-09-10,,Cagliari,Crotone,1,0,H,13,9,4,2,16,16,6,4,2,1,0,0,I8.csv,1.67,3.75,5.5,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.5717651950932151,0.2546261002148451,0.17360870469193984,,,,,,,True
I1,2017-09-10,,Bologna,Napoli,0,3,A,5,17,2,7,10,16,5,7,5,1,0,0,I8.csv,10.0,5.0,1.33,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.09506790564689065,0.1901358112937813,0.7147962830593281,,,,,,,True
I1,2017-09-10,,Benevento,Torino,0,1,A,15,16,5,6,13,22,2,10,2,2,0,0,I8.csv,4.33,3.75,1.83,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.22120042934640713,0.2554127624186514,0.5233868082349414,,,,,,,True
I1,2017-09-10,,Atalanta,Sassuolo,2,1,H,9,16,3,3,13,18,3,7,0,1,0,0,I8.csv,1.55,4.0,6.5,,,,,,,33.0,,,,,,,,,,,,,,33.0,,,0.6150206978119456,0.23832052040212892,0.1466587817859255,,,,,,,True
I1,2017-09-16,,Crotone,Inter,0,2,A,12,7,4,3,10,6,8,6,1,2,0,0,I8.csv,10.0,5.0,1.33,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.09506790564689065,0.1901358112937813,0.7147962830593281,,,,,,,True
I1,2017-09-16,,Fiorentina,Bologna,2,1,H,14,6,4,2,16,8,7,3,1,3,0,0,I8.csv,1.55,4.2,6.0,,,,,,,37.0,,,,,,,,,,,,,,37.0,,,0.6144842721287491,0.22677395757132407,0.15874177029992684,,,,,,,True
