1,Juventus,19,18,1,0,48,9,39,55,2.89,19,11,3,5,29,18,11,36,1.89
2,Roma,19,16,1,2,50,18,32,49,2.58,19,12,2,5,40,20,20,38,2.0
3,Napoli,19,13,4,2,44,19,25,43,2.26,19,13,4,2,50,20,30,43,2.26
4,Atalanta,19,12,4,3,31,18,13,40,2.11,19,9,5,5,31,23,8,32,1.68
5,Lazio,19,12,2,5,40,23,17,38,2.0,19,9,5,5,34,28,6,32,1.68
6,Milan,19,12,2,5,32,20,12,38,2.0,19,6,7,6,25,25,0,25,1.32
7,Inter,19,11,3,5,44,22,22,36,1.89,19,8,2,9,28,27,1,26,1.37
8,Fiorentina,19,10,8,1,34,23,11,38,2.0,19,6,4,9,29,34,-5,22,1.16
9,Torino,19,9,8,2,43,31,12,35,1.84,19,4,6,9,28,35,-7,18,0.95
10,Sampdoria,19,8,6,5,28,23,5,30,1.58,19,4,6,9,21,32,-11,18,0.95
11,Cagliari,19,11,3,5,38,34,4,36,1.89,19,3,2,14,17,42,-25,11,0.58
12,Sassuolo,19,7,3,9,27,28,-1,24,1.26,19,6,4,9,31,35,-4,22,1.16
13,Udinese,19,8,5,6,30,23,7,29,1.53,19,4,4,11,17,33,-16,16,0.84
14,Chievo,19,6,5,8,25,30,-5,23,1.21,19,6,2,11,18,31,-13,20,1.05
15,Bologna,19,8,2,9,24,25,-1,26,1.37,19,3,6,10,16,33,-17,15,0.79
16,Genoa,19,6,7,6,24,24,0,25,1.32,19,3,2,14,14,40,-26,11,0.58
17,Crotone,19,6,4,9,21,25,-4,22,1.16,19,3,3,13,13,33,-20,12,0.63
18,Empoli,19,5,4,10,16,29,-13,19,1.0,19,3,4,12,13,32,-19,13,0.68
19,Palermo,19,4,3,12,13,30,-17,15,0.79,19,2,5,12,20,47,-27,11,0.58
20,Pescara,19,2,5,12,19,38,-19,11,0.58,19,1,4,14,18,43,-25,7,0.37
