1,Juventus,19,16,3,0,45,11,34,51,2.68,19,10,6,3,27,13,14,36,1.89
2,Roma,19,10,7,2,31,14,17,37,1.95,19,9,6,4,23,17,6,33,1.74
3,Lazio,19,12,1,6,40,18,22,37,1.95,19,9,5,5,31,20,11,32,1.68
4,Fiorentina,19,9,6,4,30,17,13,33,1.74,19,9,4,6,31,29,2,31,1.63
5,Napoli,19,11,5,3,46,28,18,38,2.0,19,7,4,8,24,26,-2,25,1.32
6,Genoa,19,9,6,4,33,21,12,33,1.74,19,7,5,7,29,26,3,26,1.37
7,Sampdoria,19,7,10,2,23,15,8,31,1.63,19,6,7,6,25,27,-2,25,1.32
8,Inter,19,7,7,5,33,23,10,28,1.47,19,7,6,6,26,25,1,27,1.42
9,Torino,19,8,7,4,25,14,11,31,1.63,19,6,5,8,23,31,-8,23,1.21
10,Milan,19,9,5,5,30,19,11,32,1.68,19,4,8,7,26,31,-5,20,1.05
11,Palermo,19,8,6,5,30,25,5,30,1.58,19,4,7,8,23,30,-7,19,1.0
12,Sassuolo,19,7,8,4,25,22,3,29,1.53,19,5,5,9,24,35,-11,20,1.05
13,Hellas Verona,19,7,5,7,27,30,-3,26,1.37,19,4,8,7,22,35,-13,20,1.05
14,Chievo,19,4,9,6,16,19,-3,21,1.11,19,6,4,9,12,22,-10,22,1.16
15,Empoli,19,6,8,5,26,22,4,26,1.37,19,2,10,7,20,30,-10,16,0.84
16,Udinese,19,6,5,8,26,29,-3,23,1.21,19,4,6,9,17,27,-10,18,0.95
17,Atalanta,19,4,7,8,22,33,-11,19,1.0,19,3,9,7,16,24,-8,18,0.95
18,Cagliari,19,4,4,11,24,36,-12,16,0.84,19,4,6,9,24,32,-8,18,0.95
19,Cesena,19,3,7,9,19,31,-12,16,0.84,19,1,5,13,17,42,-25,8,0.42
20,Parma,19,5,4,10,19,27,-8,19,1.0,19,1,4,14,14,48,-34,7,0.37
