Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,Result,home_season_pts,home_season_wins,home_season_draws,home_season_losses,home_season_gf,home_season_ga,home_season_matches,home_season_avg_shots,home_recent_pts_mean,home_recent_gd_mean,home_recent_matches,home_days_since_last,home_days_since_log,home_recent_shots_sum,home_recent_goals_sum,home_recent_conversion,home_recent_pts_ma_3,home_recent_pts_ma_5,home_recent_pts_ma_10,home_elo,away_season_pts,away_season_wins,away_season_draws,away_season_losses,away_season_gf,away_season_ga,away_season_matches,away_season_avg_shots,away_recent_pts_mean,away_recent_gd_mean,away_recent_matches,away_days_since_last,away_days_since_log,away_recent_shots_sum,away_recent_goals_sum,away_recent_conversion,away_recent_pts_ma_3,away_recent_pts_ma_5,away_recent_pts_ma_10,away_elo,h2h_home_goals_avg,h2h_away_goals_avg,h2h_home_pts_mean,elo_diff
2017-08-26,Benevento,Bologna,0,1,A,0,0,D,,15,14,5,4,10,13,6,2,1,3,0,0,season-1718.csv,A,0,0,0,1,1,2,1,18.0,0.0,-1.0,1,6,1.9459101490553132,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,1492.8012999960577,1,0,1,0,1,1,1,13.0,1.0,0.0,1,6,1.9459101490553132,13.0,1.0,0.07692307692307693,1.0,1.0,1.0,1497.1987000039423,0.0,0.0,0.0,-4.397400007884698
2017-08-27,Chievo,Lazio,1,2,A,1,1,D,,13,13,5,3,8,8,9,6,1,1,0,0,season-1718.csv,A,3,1,0,0,2,1,1,10.0,3.0,1.0,1,7,2.0794415416798357,10.0,2.0,0.2,3.0,3.0,3.0,1512.8012999960577,1,0,1,0,0,0,1,23.0,1.0,0.0,1,7,2.0794415416798357,23.0,0.0,0.0,1.0,1.0,1.0,1497.1987000039423,0.0,0.0,0.0,15.602599992115302
2017-08-27,Crotone,Verona,0,0,D,0,0,D,,13,5,4,0,13,11,1,3,1,3,0,0,season-1718.csv,D,0,0,0,1,0,3,1,6.0,0.0,-3.0,1,7,2.0794415416798357,6.0,0.0,0.0,0.0,0.0,0.0,1487.1987000039423,0,0,0,1,1,3,1,12.0,0.0,-2.0,1,8,2.1972245773362196,12.0,1.0,0.08333333333333333,0.0,0.0,0.0,1487.1987000039423,0.0,0.0,0.0,0.0
2017-08-27,Fiorentina,Sampdoria,1,2,A,0,2,A,,25,12,10,5,20,11,14,7,3,4,0,0,season-1718.csv,A,0,0,0,1,0,3,1,15.0,0.0,-3.0,1,7,2.0794415416798357,15.0,0.0,0.0,0.0,0.0,0.0,1492.8012999960577,3,1,0,0,2,1,1,16.0,3.0,1.0,1,7,2.0794415416798357,16.0,2.0,0.125,3.0,3.0,3.0,1507.1987000039423,0.0,0.0,0.0,-14.397400007884698
2017-08-27,Milan,Cagliari,2,1,H,1,0,H,,15,14,5,4,20,17,2,6,2,1,0,0,season-1718.csv,H,3,1,0,0,3,0,1,19.0,3.0,3.0,1,7,2.0794415416798357,19.0,3.0,0.15789473684210525,3.0,3.0,3.0,1512.8012999960577,0,0,0,1,0,3,1,5.0,0.0,-3.0,1,8,2.1972245773362196,5.0,0.0,0.0,0.0,0.0,0.0,1492.8012999960577,0.0,0.0,0.0,20.0
2017-08-27,Napoli,Atalanta,3,1,H,0,1,A,,10,14,4,2,15,9,9,6,1,2,0,0,season-1718.csv,H,3,1,0,0,3,1,1,22.0,3.0,2.0,1,8,2.1972245773362196,22.0,3.0,0.13636363636363635,3.0,3.0,3.0,1512.8012999960577,0,0,0,1,0,1,1,14.0,0.0,-1.0,1,7,2.0794415416798357,14.0,0.0,0.0,0.0,0.0,0.0,1487.1987000039423,0.0,0.0,0.0,25.6025999921153
2017-08-27,Spal,Udinese,3,2,H,1,0,H,,10,11,4,3,9,14,0,7,3,1,0,0,season-1718.csv,H,1,0,1,0,0,0,1,9.0,1.0,0.0,1,7,2.0794415416798357,9.0,0.0,0.0,1.0,1.0,1.0,1502.8012999960577,0,0,0,1,1,2,1,18.0,0.0,-1.0,1,7,2.0794415416798357,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,1487.1987000039423,0.0,0.0,0.0,15.602599992115302
2017-08-27,Torino,Sassuolo,3,0,H,1,0,H,,14,19,5,2,13,16,5,11,1,1,0,0,season-1718.csv,H,1,0,1,0,1,1,1,9.0,1.0,0.0,1,7,2.0794415416798357,9.0,1.0,0.1111111111111111,1.0,1.0,1.0,1502.8012999960577,1,0,1,0,0,0,1,14.0,1.0,0.0,1,7,2.0794415416798357,14.0,0.0,0.0,1.0,1.0,1.0,1497.1987000039423,0.0,0.0,0.0,5.602599992115302
2017-09-09,Juventus,Chievo,3,0,H,1,0,H,,15,15,4,2,10,7,10,6,2,1,0,0,season-1718.csv,H,6,2,0,0,7,2,2,17.0,3.0,2.5,2,14,2.70805020110221,34.0,7.0,0.20588235294117646,3.0,3.0,3.0,1519.8829560165664,3,1,0,1,3,3,2,11.5,1.5,0.0,2,13,2.6390573296152584,23.0,3.0,0.13043478260869565,1.5,1.5,1.5,1499.59157410193,0.0,0.0,0.0,20.291381914636304
2017-09-10,Lazio,Milan,4,1,H,2,0,H,,12,18,7,6,14,12,3,5,1,1,0,0,season-1718.csv,H,4,1,1,0,2,1,2,18.0,2.0,0.5,2,14,2.70805020110221,36.0,2.0,0.05555555555555555,2.0,2.0,2.0,1510.40842589807,6,2,0,0,5,1,2,17.0,3.0,2.0,2,14,2.70805020110221,34.0,5.0,0.14705882352941177,3.0,3.0,3.0,1519.478511504395,0.0,0.0,0.0,-9.070085606325165
